Nombre,Armado,Categoría,Clase de armadura,Fuerza,Precio,"Propiedades ",Volumen
Acolchada,,Armura ligera,11 + MOD DES,,5 po,"Orgánico (Armaduras/Propiedades%20de%20armaduras/Org%C3%A1nico%2025582858a775800eb11dd71242927d9f.md), Ignífugo (Armaduras/Propiedades%20de%20armaduras/Ign%C3%ADfugo%2025582858a775806ea862c7cc6ddf098b.md), Aislante (Armaduras/Propiedades%20de%20armaduras/Aislante%2025582858a7758078aa29d4332775e32c.md)",3
Tejido Sombrío,,Armura ligera,11 + MOD DES,,60 po,"Inflamable (Armaduras/Propiedades%20de%20armaduras/Inflamable%2025582858a7758070a338cc919f636dc9.md), Hidrófugo (Armaduras/Propiedades%20de%20armaduras/Hidr%C3%B3fugo%2025582858a77580febf69f493c0bf1860.md), Sigiloso (Armaduras/Propiedades%20de%20armaduras/Sigiloso%2025582858a775804581a2d59a13666656.md)",1
Cuero,,Armura ligera,11 + MOD DES,,10 po,"Resistente al impacto (Armaduras/Propiedades%20de%20armaduras/Resistente%20al%20impacto%2025582858a775805fbb71c6319d8d2f42.md), Orgánico (Armaduras/Propiedades%20de%20armaduras/Org%C3%A1nico%2025582858a775800eb11dd71242927d9f.md), Ignífugo (Armaduras/Propiedades%20de%20armaduras/Ign%C3%ADfugo%2025582858a775806ea862c7cc6ddf098b.md)",3
Cuero tachonado,,Armura ligera,12 + MOD DES,,45 po,"Aislante (Armaduras/Propiedades%20de%20armaduras/Aislante%2025582858a7758078aa29d4332775e32c.md), Orgánico (Armaduras/Propiedades%20de%20armaduras/Org%C3%A1nico%2025582858a775800eb11dd71242927d9f.md), Ignífugo (Armaduras/Propiedades%20de%20armaduras/Ign%C3%ADfugo%2025582858a775806ea862c7cc6ddf098b.md)",3
Seda Arácnida,,Armura ligera,12 + MOD DES,,120 po,"Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md), Orgánico (Armaduras/Propiedades%20de%20armaduras/Org%C3%A1nico%2025582858a775800eb11dd71242927d9f.md), Especial (Armaduras/Propiedades%20de%20armaduras/Especial%2025582858a77580b3b94ce9a498ac900d.md)",2
Pieles,,Armadura media,12 + mod Des (máx 2),,10 po,"Orgánico (Armaduras/Propiedades%20de%20armaduras/Org%C3%A1nico%2025582858a775800eb11dd71242927d9f.md), Aislante (Armaduras/Propiedades%20de%20armaduras/Aislante%2025582858a7758078aa29d4332775e32c.md)",3
Pieles Miméticas,,Armadura media,12 + mod Des (máx 2),,40 po,"Orgánico (Armaduras/Propiedades%20de%20armaduras/Org%C3%A1nico%2025582858a775800eb11dd71242927d9f.md), Aislante (Armaduras/Propiedades%20de%20armaduras/Aislante%2025582858a7758078aa29d4332775e32c.md), Sigiloso (Armaduras/Propiedades%20de%20armaduras/Sigiloso%2025582858a775804581a2d59a13666656.md)",3
Camisote de Malla,,Armadura media,13 + mod Des (máx 2),,50 po,Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md),4
Cota de Escamas,,Armadura media,13 + mod Des (máx 2),,50 po,"Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md), Resistente al impacto (Armaduras/Propiedades%20de%20armaduras/Resistente%20al%20impacto%2025582858a775805fbb71c6319d8d2f42.md), Conspicuo (Armaduras/Propiedades%20de%20armaduras/Conspicuo%2025582858a77580a8a4aafdd983082b6e.md)",4
Peto,,Armadura media,14 + mod Des (máx 2),,400 po,"Resistente al impacto (Armaduras/Propiedades%20de%20armaduras/Resistente%20al%20impacto%2025582858a775805fbb71c6319d8d2f42.md), Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md), Conductivo (Armaduras/Propiedades%20de%20armaduras/Conductivo%2025582858a7758091ba14cc732a65fd44.md)",4
