Nombre,Categoría,Combate,"Propiedades ",Árbol relacionado
Abanico de batalla,Marcial,Cuerpo a cuerpo,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Oculta (Armas/Propiedades%20de%20armas/Oculta%2025082858a775804bba22d47c24ad58ea.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)","Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21)"
Alabarda,Marcial,Cuerpo a cuerpo,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)","Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Arco compuesto,Marcial,Distancia,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)","Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)"
Arco corto,Simple,Distancia,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)
Arco largo,Marcial,Distancia,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md)","Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)"
Arpón,Simple,Distancia,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Perfora armadura (Armas/Propiedades%20de%20armas/Perfora%20armadura%2025082858a77580e1bfd6caad7084c8a0.md)","Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Pesca (https://app.notion.com/p/Pesca-33b82858a77580ad9467c92b7a88c6b7?pvs=21)"
Ballesta de repetición,Marcial,Distancia,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Recarga (Armas/Propiedades%20de%20armas/Recarga%2025182858a77580d79818e3fdaded0629.md)","Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)"
Ballesta ligera,Simple,Distancia,"Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)
Ballesta pesada,Marcial,Distancia,"Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Perfora armadura (Armas/Propiedades%20de%20armas/Perfora%20armadura%2025082858a77580e1bfd6caad7084c8a0.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)
Bastón,Simple,Cuerpo a cuerpo,"Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md), Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md)","Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
