Nombre,Categoría,Combate,Crítico,Daño,Distancia,Munición,Precio,"Propiedades ",Recarga,Versátil,Volumen,Árbol relacionado
Nudilleras,Simple,Cuerpo a cuerpo,,1d4 contundente,,,1 po,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Segura (Armas/Propiedades%20de%20armas/Segura%2025082858a775806e822ef8d376199ea1.md), Oculta (Armas/Propiedades%20de%20armas/Oculta%2025082858a775804bba22d47c24ad58ea.md)",,,"0,2",Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)
Garrote,Simple,Cuerpo a cuerpo,,1d4 contundente,,,1 pp,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md)",,,2,Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)
Daga,Simple,Cuerpo a cuerpo,,1d4 cortante,,4/12 casillas,2 po,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Sutil (Armas/Propiedades%20de%20armas/Sutil%2025082858a77580fc9987c0237bc07b97.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",,,1,"Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21)"
Garras de lucha,Simple,Cuerpo a cuerpo,,1d4 cortante,,,"3 po ","Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Segura (Armas/Propiedades%20de%20armas/Segura%2025082858a775806e822ef8d376199ea1.md), Desgarradora (Armas/Propiedades%20de%20armas/Desgarradora%2025082858a775805180ebc66dcabf79cb.md)",,,1,Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21)
Garrote grande,Simple,Cuerpo a cuerpo,,1d8 contundente,,,2 pp,"Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",,,3,Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)
Hacha de mano,Simple,Cuerpo a cuerpo,,1d6 cortante,4/12 casillas,,5 po,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)",,,2,Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21)
Jabalina,Simple,Cuerpo a cuerpo,,1d6 perforante,6/24 casillas,,3,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md)",,,5,"Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
Martillo ligero,Simple,Cuerpo a cuerpo,,1d6 contundente,4/12 casillas,,2 po,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)",,,2,Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21)
Maza,Simple,Cuerpo a cuerpo,,1d6 contundente,,,2 po,Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md),,,5,"Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)"
Machete,Simple,Cuerpo a cuerpo,,1d6 cortante,,,5 po,Especial (Armas/Propiedades%20de%20armas/Especial%2025082858a77580bc924ee31dcf91d586.md),,,2,Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)
Bastón,Simple,Cuerpo a cuerpo,,1d6 contundente,,,2 pp,"Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md), Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md)",,1d8,2,"Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Daga de puño,Simple,Cuerpo a cuerpo,,1d6 perforante,,,2 po,"Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Segura (Armas/Propiedades%20de%20armas/Segura%2025082858a775806e822ef8d376199ea1.md)",,,1,Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21)
