Nombre,Tipo,Cúando
Agarre,Básica,Impactas el ataque pero no realizas daño
Arresto de Arma,Avanzada,Como reacción cuando un enemigo intenta atacar cuerpo a cuerpo contra ti o un aliado adyacente.
Barrido del Maestro,Avanzada,Hay 2+ enemigos adyacentes a ti
Cadena de Oportunidad,Avanzada,Reduciste a 0 PV a un enemigo con un ataque de arma.
Cambio de empuñadura,Básica,Alternas entre una y dos manos
Cambio de Guardia,Básica,Fallas un ataque con el arma
Canto de guerra,Básica,Reduces a un enemigo a 0 PV
Control de Alcance,Básica,Impactas con un alcance igual o superior a 2 casillas
Corte fluido,Básica,Impactas con esta arma.
Corte rasgador,Avanzada,Impactas dos ataques seguidos con el mismo arma
Corte sangrante,Básica,"Sacas un crítico natural "
Corte veloz,Básica,Impactas con esta arma
Danza Celestial,Avanzada,Tomas la acción de https://app.notion.com/p/14882858a7758099a33cd248a61abe05?pvs=21.
Danza de la Cinta,Básica,Usas la acción de https://app.notion.com/p/14882858a7758099a33cd248a61abe05?pvs=21o https://app.notion.com/p/14882858a77580728a0fc95064ba620d?pvs=21.
Degüello silencioso,Avanzada,Tienes ventaja en el ataque y el objetivo no te ha visto este combate
Deslizamiento Oculto,Básica,Empiezas el combate
Desvío oportuno,Básica,Un enemigo falla un ataque cuerpo a cuerpo contra ti
Disparo a la mano,Avanzada,Impactas y el objetivo sostiene algo en la mano
Disparo a Quemarropa,Avanzada,Un enemigo entra a 1 casilla de ti mientras tienes el arma cargada
Disparo perforante,Avanzada,"Impactas a un enemigo que tiene otro enemigo directamente detrás (en línea, hasta 2 casillas)"
"Embate ",Avanzada,Impactas tras moverte al menos 4 casillas en línea recta
Embate Caballeresco,Avanzada,Realizas un ataque montado tras moverte al menos 4 casillas.
Empalamiento táctico,Avanzada," Impactas a un enemigo que intentó acercarse a ti este turno"
Empuje táctico,Básica,Impactas con esta arma
Escapada Fingida,Avanzada,Estás agarrando a un enemigo y usas la daga de puño.
Espiral de Muerte,Avanzada,Derribas a un enemigo o esquivas con éxito un ataque cuerpo a cuerpo.
Garra del Dragón,Avanzada,Un enemigo te ataca estando a tu alcance.
Giro Deflector,Avanzada,Recibes daño contundente o cortante.
Giro Enredador,Avanzada,Fallas un ataque
Giro Retornante,Avanzada,Fallas un lanzamiento con el arma
Golpe amplio,Avanzada,Realizas un ataque con el arma dos manos.
Golpe contundente,Básica,Impactas con un ataque
Golpe de Anclaje,Avanzada,Una criatura intenta moverse fuera de tu alcance.
Golpe de Ruptura,Avanzada,Golpeas un objeto o estructura (no criatura).
Golpe fracturador,Avanzada,Impactas a un enemigo con armadura no-mágica o escudo no-mágico
Guardián de la Puerta,Avanzada,Una criatura entra en tu alcance.
Impacto Desestabilizante,Básica,Fallas el ataque.
Impacto Intimidatorio,Avanzada,Impactas por sorpresa
Interponer,Básica,Eres atacado cuerpo a cuerpo y tienes reacción disponible.
Lanzamiento medido,Básica,No te has movido este turno
Ojo Penetrante,Avanzada,Tienes línea de visión complicada
Parada de Dos Filos,Básica,Eres atacado cuerpo a cuerpo y tienes tu reacción.
Postura del Halcón,Avanzada,Tomas la acción de https://app.notion.com/p/14882858a7758036a4fae374110b7218?pvs=21
Precisión concentrada,Básica,No atacaste en tu turno anterior
Recarga táctica,Básica,Tomas la acción para recargar.
Sombra Evasiva,Avanzada,Eres objetivo de un ataque cuerpo a cuerpo.
Sujeción robusta,Avanzada,Usas el armar para atrapar a  alguien que se haya movido al menos una casilla
Tensión calculada,Básica,Mantienes la cuerda tensada sin disparar (acción de https://app.notion.com/p/14882858a7758036a4fae374110b7218?pvs=21).
Tiro de Cobertura,Básica,Un aliado termina su turno a menos de 3 casillas de ti.
Tiro Rebotado,Avanzada,Impactas contra una superficie dura cerca del objetivo.
Traba,Básica,Impactas con esta arma a un enemigo que se movió al menos 1 casilla este turno
