Nombre,Cúando,Tipo
Agarre,Impactas el ataque pero no realizas daño,Básica
Golpe contundente,Impactas con un ataque,Básica
Empuje táctico,Impactas con esta arma,Básica
Desvío oportuno,Un enemigo falla un ataque cuerpo a cuerpo contra ti,Básica
Corte veloz,Impactas con esta arma,Básica
Precisión concentrada,No atacaste en tu turno anterior,Básica
Lanzamiento medido,No te has movido este turno,Básica
Traba,Impactas con esta arma a un enemigo que se movió al menos 1 casilla este turno,Básica
Corte sangrante,"Sacas un crítico natural ",Básica
Control de Alcance,Impactas con un alcance igual o superior a 2 casillas,Básica
Corte fluido,Impactas con esta arma.,Básica
Impacto Desestabilizante,Fallas el ataque.,Básica
Empalamiento táctico," Impactas a un enemigo que intentó acercarse a ti este turno",Avanzada
Barrido del Maestro,Hay 2+ enemigos adyacentes a ti,Avanzada
Degüello silencioso,Tienes ventaja en el ataque y el objetivo no te ha visto este combate,Avanzada
Disparo perforante,"Impactas a un enemigo que tiene otro enemigo directamente detrás (en línea, hasta 2 casillas)",Avanzada
Golpe fracturador,Impactas a un enemigo con armadura no-mágica o escudo no-mágico,Avanzada
Arresto de Arma,Como reacción cuando un enemigo intenta atacar cuerpo a cuerpo contra ti o un aliado adyacente.,Avanzada
"Embate ",Impactas tras moverte al menos 4 casillas en línea recta,Avanzada
Cadena de Oportunidad,Reduciste a 0 PV a un enemigo con un ataque de arma.,Avanzada
Ojo Penetrante,Tienes línea de visión complicada,Avanzada
Disparo a la mano,Impactas y el objetivo sostiene algo en la mano,Avanzada
Sujeción robusta,Usas el armar para atrapar a  alguien que se haya movido al menos una casilla,Avanzada
Impacto Intimidatorio,Impactas por sorpresa,Avanzada
Tiro Rebotado,Impactas contra una superficie dura cerca del objetivo.,Avanzada
Corte rasgador,Impactas dos ataques seguidos con el mismo arma,Avanzada
Escapada Fingida,Estás agarrando a un enemigo y usas la daga de puño.,Avanzada
Interponer,Eres atacado cuerpo a cuerpo y tienes reacción disponible.,Básica
Golpe amplio,Realizas un ataque con el arma dos manos.,Avanzada
Cambio de Guardia,Fallas un ataque con el arma,Básica
Deslizamiento Oculto,Empiezas el combate,Básica
Canto de guerra,Reduces a un enemigo a 0 PV,Básica
Tiro de Cobertura,Un aliado termina su turno a menos de 3 casillas de ti.,Básica
Cambio de empuñadura,Alternas entre una y dos manos,Básica
Tensión calculada,Mantienes la cuerda tensada sin disparar (acción de https://app.notion.com/p/14882858a7758036a4fae374110b7218?pvs=21).,Básica
Recarga táctica,Tomas la acción para recargar.,Básica
Parada de Dos Filos,Eres atacado cuerpo a cuerpo y tienes tu reacción.,Básica
Danza de la Cinta,Usas la acción de https://app.notion.com/p/14882858a7758099a33cd248a61abe05?pvs=21o https://app.notion.com/p/14882858a77580728a0fc95064ba620d?pvs=21.,Básica
Giro Retornante,Fallas un lanzamiento con el arma,Avanzada
Garra del Dragón,Un enemigo te ataca estando a tu alcance.,Avanzada
Sombra Evasiva,Eres objetivo de un ataque cuerpo a cuerpo.,Avanzada
Giro Deflector,Recibes daño contundente o cortante.,Avanzada
Postura del Halcón,Tomas la acción de https://app.notion.com/p/14882858a7758036a4fae374110b7218?pvs=21,Avanzada
Golpe de Anclaje,Una criatura intenta moverse fuera de tu alcance.,Avanzada
Guardián de la Puerta,Una criatura entra en tu alcance.,Avanzada
Golpe de Ruptura,Golpeas un objeto o estructura (no criatura).,Avanzada
Embate Caballeresco,Realizas un ataque montado tras moverte al menos 4 casillas.,Avanzada
Giro Enredador,Fallas un ataque,Avanzada
Danza Celestial,Tomas la acción de https://app.notion.com/p/14882858a7758099a33cd248a61abe05?pvs=21.,Avanzada
Disparo a Quemarropa,Un enemigo entra a 1 casilla de ti mientras tienes el arma cargada,Avanzada
Espiral de Muerte,Derribas a un enemigo o esquivas con éxito un ataque cuerpo a cuerpo.,Avanzada
