Nombre,Requisito nivel
Execración Corrosiva,5
Execración de la Agonía,
Execración de la Ceguera,
Execración de la Descomposición,13
Execración de la Furia Insaciable,9
Execración de la Mente Confusa,
Execración de la Paranoia,
Execración de la Privación Sensorial,9
Execración de la Verdad,
Execración de la Vulnerabilidad,5
Execración de las Pesadillas,13
Execración del Aprisionamiento,
Execración del Azote,5
Execración del Dominio Animal,5
Execración del Marionetista,9
Execración del Portal Mortal,9
Execración del Robo Vital,
Execración del Saber Prohibido,
Execración del Terror Abisal,9
Execración del Vínculo de Sangre,5
