Nombre,Requisito nivel
Execración de la Agonía,
Execración de la Paranoia,
Execración del Aprisionamiento,
Execración de la Ceguera,
Execración de la Mente Confusa,
Execración del Saber Prohibido,
Execración de la Verdad,
Execración del Robo Vital,
Execración del Dominio Animal,5
Execración del Vínculo de Sangre,5
Execración Corrosiva,5
Execración de la Vulnerabilidad,5
Execración del Azote,5
Execración del Marionetista,9
Execración de la Furia Insaciable,9
Execración del Terror Abisal,9
Execración del Portal Mortal,9
Execración de la Privación Sensorial,9
Execración de la Descomposición,13
Execración de las Pesadillas,13
