Nombre,Requisito de nivel,Activación,Concentración
Balada del Acero,2,Acción adicional,No
Canción de la Perseverancia,2,Acción adicional,No
" Himno del Paso Ligero",2,Acción adicional,No
Murmullo de la Calma,2,Acción adicional,No
Requiem de la Guardia,2,Reacción,No
Aria de la Mente Veloz,7,Acción adicional,No
Cadencia del Escudo,7,Acción adicional,No
Nocturno de las Sombras,7,1 minuto,No
Sinfonía del Destructor,7,Acción adicional,No
Coral de las Mentes Unidas,11,1 acción,Yes
Elegía del Último Aliento,11,Reacción,No
Obertura del Caos,11,Acción adicional,Yes
Gran Coda,14,1 acción,Yes
Sinfonía Inmortal,14,Acción adicional,No
Réquiem del Mundo,18,1 minuto,Yes
