Nombre,Activación,Concentración,Requisito de nivel
Balada del Acero,Acción adicional,No,2
Murmullo de la Calma,Acción adicional,No,2
Canción de la Perseverancia,Acción adicional,No,2
" Himno del Paso Ligero",Acción adicional,No,2
Requiem de la Guardia,Reacción,No,2
Aria de la Mente Veloz,Acción adicional,No,7
Sinfonía del Destructor,Acción adicional,No,7
Nocturno de las Sombras,1 minuto,No,7
Cadencia del Escudo,Acción adicional,No,7
Obertura del Caos,Acción adicional,Yes,11
Elegía del Último Aliento,Reacción,No,11
Coral de las Mentes Unidas,1 acción,Yes,11
Sinfonía Inmortal,Acción adicional,No,14
Gran Coda,1 acción,Yes,14
Réquiem del Mundo,1 minuto,Yes,18
