Nombre,Requisito de nivel
Armadura de sombras,
Aspecto de la luna,
Influencia seductora,
Vista sobrenatural,
Ojos del guardián de las runas,
Mirada de dos mentes,
Regalo de lo profundo,
Vista infernal,
Vigor de otro mundo,
Máscara de los muchos rostros,
Visiones brumosas,
Discurso silvano,
Lanza sobrenatural,3
Agarre oscuro,3
Lanza del Letargo,3
Estallido repelente,3
Ladrón de los cinco destinos,3
Estallido en erupción,5
Uno con las sombras,5
Tumba de escarcha,5
Secretos Arcanos,7
Paso Ascendente,7
Visión etérea,7
Sirviente predilecto,7
Naturaleza de otro mundo,7
Susurros de la tumba,7
Comunicarse con el patrón,9
Favor del maestro,9
Vista de bruja,9
