Nombre,Conjuro mayor,Conjuro medio,Conjuro menor
Esencia del Guerrero Bruto,Forma del Titán Menor (https://app.notion.com/p/Forma-del-Tit-n-Menor-39582858a7758042be13eb7c307437b1?pvs=21),Puños de Mármol (https://app.notion.com/p/Pu-os-de-M-rmol-35182858a7758016a072cc104226a8a5?pvs=21),Golpe Aplastante (https://app.notion.com/p/Golpe-Aplastante-39582858a775802e959bd65f23d17e53?pvs=21)
Esencia del Cazador Sigiloso,Golpe de la Medianoche (https://app.notion.com/p/Golpe-de-la-Medianoche-39582858a775804b8314eb9c620050ae?pvs=21),Espejismo de Huida (https://app.notion.com/p/Espejismo-de-Huida-34782858a77580ab9518f02a0120c287?pvs=21),Velo de Sombra (https://app.notion.com/p/Velo-de-Sombra-33882858a7758004a347c2c95f87b97b?pvs=21)
Esencia del Ave Rapaz,Grito de las Alturas (https://app.notion.com/p/Grito-de-las-Alturas-39582858a775809caee7d7665514ffec?pvs=21),Corriente Ascendente (https://app.notion.com/p/Corriente-Ascendente-39582858a775800caf35d15e4fa64898?pvs=21),
Esencia del Engendro Primigenio,Invocar Demonio Menor (https://app.notion.com/p/Invocar-Demonio-Menor-34e82858a775805c8c59c24db375ceb6?pvs=21),Nube de Pestilencia (https://app.notion.com/p/Nube-de-Pestilencia-33a82858a7758038bc8bf2449784f20d?pvs=21),Toque de la Condena (https://app.notion.com/p/Toque-de-la-Condena-37182858a77580c682d3d0824dca421e?pvs=21)
Esencia del Coloso,Terremoto Localizado (https://app.notion.com/p/Terremoto-Localizado-35782858a7758091bdadd5eba7926797?pvs=21),Invocar Gigante (https://app.notion.com/p/Invocar-Gigante-35382858a77580ff831cecbd6cf724f6?pvs=21),Pisotón Telúrico (https://app.notion.com/p/Pisot-n-Tel-rico-33882858a7758096b234eedafb763325?pvs=21)
Esencia del Anfibio,Presa de las Profundidades (https://app.notion.com/p/Presa-de-las-Profundidades-39782858a7758010aa66e02f1735e10c?pvs=21),Vorágine (https://app.notion.com/p/Vor-gine-35782858a7758055a98ed869078f134b?pvs=21),Látigo de Agua (https://app.notion.com/p/L-tigo-de-Agua-34782858a775802daa94e7fbdfcfd4f8?pvs=21)
Esencia del Arácnido,Invocar Enjambre (https://app.notion.com/p/Invocar-Enjambre-37382858a7758083bcccfcacecc21450?pvs=21),Picadura Paralizante (https://app.notion.com/p/Picadura-Paralizante-39782858a775802d9a93ccb674d1a26f?pvs=21),Red Venenosa (https://app.notion.com/p/Red-Venenosa-33982858a7758080ad05f633f4dcb173?pvs=21)
Esencia del Inadaptado,Silencio de Piedra (https://app.notion.com/p/Silencio-de-Piedra-39782858a77580c3b554d4ac13de116b?pvs=21),Mirada que Petrifica (https://app.notion.com/p/Mirada-que-Petrifica-39782858a77580daad5bd0e28639b608?pvs=21),Chillido Desorientador (https://app.notion.com/p/Chillido-Desorientador-39782858a77580beadd6e53c55d317d5?pvs=21)
Esencia del Hematófago,Voluntad hemática (https://app.notion.com/p/Voluntad-hem-tica-35782858a775804dbef1f65fc5edd432?pvs=21),Mordisco Vital (https://app.notion.com/p/Mordisco-Vital-39782858a775807e938ec9abb72ca5a4?pvs=21),Sangrar (https://app.notion.com/p/Sangrar-33882858a7758038962efb9f679fd397?pvs=21)
Esencia del Cambiaformas,Máscara Perfecta (https://app.notion.com/p/M-scara-Perfecta-35c82858a77580c0b84be80e668e5ec9?pvs=21),Forma Prestada (https://app.notion.com/p/Forma-Prestada-35b82858a7758057a52ac9eb7b7e05c8?pvs=21),Disfraz Ilusorio (https://app.notion.com/p/Disfraz-Ilusorio-33b82858a77580b18561ec81a5603a43?pvs=21)
