Nombre,Requisito de nivel
Agarre etéreo,7
Alas etéreas,14
Armadura opalescente,
Baluarte primordial,18
Égida iridiscente,7
Escudo iridiscente,2
Estatura terrible,7
Evocar espíritu,7
Fauces sobrenatural,7
Forma de metamorfosis colosal,18
Fuerza sobrenatural,
Golpe demoledor,10
Golpe distractor,2
Lanza brillante,2
Lanza deslumbrante,10
Magia menor,7
Mirada penetrante,7
Pasos crepusculares,14
Presencia apestosa,
Rostro peligroso,10
Sed primigenia,14
Sentido espiritual,
Señor de los espíritus,18
Tentáculo etéreo,
