Nombre,Requisito de nivel
Tentáculo etéreo,
Sentido espiritual,
Presencia apestosa,
Fuerza sobrenatural,
Escudo iridiscente,2
Armadura opalescente,
Lanza brillante,2
Golpe distractor,2
Estatura terrible,7
Agarre etéreo,7
Evocar espíritu,7
Magia menor,7
Égida iridiscente,7
Fauces sobrenatural,7
Mirada penetrante,7
Lanza deslumbrante,10
Rostro peligroso,10
Golpe demoledor,10
Sed primigenia,14
Alas etéreas,14
Pasos crepusculares,14
Forma de metamorfosis colosal,18
Señor de los espíritus,18
Baluarte primordial,18
