Nombre,Nivel,Objeto
Arma leal,,Arma con la propiedad Arrojadiza
Armamento adaptable,,Arma cuerpo a cuerpo.
Mina de explosión aérea,,Munición o dispositivo pequeño
Cinturón de ajuste de tamaño,,Cinturón o prenda ajustada al cuerpo
Devorador de elementos,,Cualquier prenda o brazalete.
Gancho de agarre mejorado,,Dispositivo de muñeca o guantelete
Escupefuegos,,Arma cuerpo a cuerpo o guantelete
Granada aturdidora,,Objeto pequeño arrojadizo
Capa deslizante,,Capa o abrigo.
Interruptor de gravedad,,Dispositivo de mano o brazalete
Guantelete de impacto,,Guantelete
Cable puente,,Dispositivo de mano con carrete de cable
Botas de salto,,Botas
Bastón relámpago,,Bastón o arma de asta
Brazo mecánico,,Prótesis o guantelete articulado
Familiar mecánico,,Estatuilla o núcleo de relojería
Lanzador de red,,Dispositivo de muñeca
Ballesta de mano de repetición,,Ballesta oculta en manga o guantelete
Generador de descargas,,Armadura o prenda ajustada.
Gancho impactante,,Dispositivo de muñeca
Lentes de visión,,Gafas o visor
Capa de humo,,Capa
Redes de tejido de acero,,Prenda o armadura ligera
Botas de marcha,,Botas
Tiros de fantasía,,Arma a distancia o su munición
Vínculo salvalmas,,Par de medallones o brazaletes (uno para cada portador)
Piedra guardiana,,Piedra o pequeño ídolo
División abominable,,Amuleto o broche
Infusión vampírica,,Arma cuerpo a cuerpo
Grillete antimágico,5,Grilletes o esposas
Cuerda de atar,5,Cuerda tratada mágicamente
Araña ballesta,5,"Una ballesta "
Imágenes humeantes,5,Capa o brazalete.
Truco de desaparición,5,Anillo o broche.
Escudo animado,5,Escudo
Munición arcana,5,Munición de un arma a distancia
Arma desviadora,5,Arma cuerpo a cuerpo con propiedad Ligera o Defensiva
Anillo de reacción,5,Anillo
Acumulador de fuerza,5,Brazalete o coraza.
Yelmo de invulnerabilidad,5,Yelmo o casco
Anulador Arcano,9,Amuleto o vara corta
Adorno de fase,9,Pendiente o broche
Gas apestoso,9,Cápsula o frasco sellado
Baratija de cronómetro,9,Reloj de bolsillo o engranaje
Detonar Armamento,9,Arma cuerpo a cuerpo o munición.
Bolsillos dimensionales,9,"Chaqueta, mochila o cinturón."
Capa de invisibilidad,9,Capa o capucha
Anillo atrapaconjuros,9,Anillo
Anillo de inversión oscura,9,Anillo
