Nombre,Chispa,Requisito de nivel,Tipo
Golpe que Encuentra la Grieta,Impactas con un Golpe Desarmado o un arma de Monje a una criatura que ya haya recibido daño de un ataque tuyo en este mismo turno.,,Básico
Raíz de Bambú,"Un efecto intenta empujarte, arrastrarte, tumbarte o moverte contra tu voluntad, y tienes derecho a una tirada de salvación de Fuerza o Destreza para resistirlo.",,Básico
Mirada que Anticipa,Una criatura hostil que puedas ver falla una tirada de ataque contra ti.,,Básico
Puño de la Marea Creciente,Te has movido al menos 3 casillas en línea recta inmediatamente antes de impactar con un Golpe Desarmado.,,Avanzada
Mano que Sujeta el Río,Una criatura dentro del alcance de tu Golpe Desarmado intenta alejarse de ti usando su movimiento.,,Avanzada
Respiración que Sana la Grieta,"Al final de tu turno, tu Vigor actual es la mitad o menos de tu Vigor máximo.",,Avanzada
Llama en la Tormenta,"Al inicio de tu turno, tienes 3 o más criaturas hostiles adyacentes a ti.",,Avanzada
Quietud de la Montaña,"Al inicio de tu turno, no te has movido en absoluto durante tu turno anterior y no llevas armadura ni escudo.",,Avanzada
Voluntad Inquebrantable,Debes realizar una tirada de salvación de Sabiduría o Carisma para resistir el miedo o un efecto de encantamiento.,,Avanzada
Dedo que Encuentra el Punto Ciego,"Impactas con un Golpe Desarmado o arma de Monje a una criatura que tenga la condición Tumbado, Aturdido, Agarrado o Incapacitado.",,Avanzada
Paso sobre Brasas Frías,"Al inicio de tu turno, tienes la mitad o menos de tu Ki máximo (redondeando hacia abajo",,Avanzada
Lazo de Seda Invisible,Impactas con la opción de Agarrar de tu Golpe Desarmado.,,Avanzada
Punto de Presión Letal,"Impactas con un Golpe Desarmado a una criatura que ya tenga la condición Agarrado, Tumbado, Aturdido o Incapacitado",,Avanzada
Mil Puños en un Parpadeo,Reduces a una criatura a 0 puntos de Vigor con un Golpe Desarmado o un arma de Monje.,11,Maestra
El Puño que Rompe el Cielo,"Atacas con un Golpe Desarmado a una criatura que tiene la condición Ensangrentado (la mitad o menos de su Vigor máximo), y no te has movido en absoluto durante este turno.",11,Maestra
