Nombre,Coste,Tipo,Volumen
Flecha,5 pc,Munición,"0,2"
Virotes,5 pc,Munición,"0,2"
Esposas,2,Equipo de aventuras,1
Foco arcano,5 po,Foco de lanzamiento de conjuros,1
Tinta (botella de 30 ml),10 po,Equipo de aventuras,"0,2"
Pluma para tinta,2 pc,Equipo de aventuras,"0,2"
"Pergamino (una hoja) ",1 pp,Equipo de aventuras,0
Lupa,100 po,Equipo de aventuras,"0,2"
Bala de honda,"0,2 pc",Munición,"0,2"
Bala de pólvora,3 pp,Munición,"0,2"
Aguja de cerbatana,2 pc,Munición,"0,2"
Cojinetes de bolas (bolsa de 1.000),1 po,Equipo de aventuras,"0,2"
Saco de dormir,1 po,Equipo de aventuras,1
Campana,1 po,Equipo de aventuras,"0,2"
Manta,5 pp,Equipo de aventuras,1
Aparejo de poleas,1 po,Equipo de aventuras,1
Libro,25 po,Equipo de aventuras,1
Abrojos (bolsa de 20),1 po,Equipo de aventuras,"0,2"
"Vela ",1 pc,Generador de luz,"0,2"
Estuche para mapas o pergaminos,1 po,Equipo de aventuras,1
Palanca,2 po,Equipo de aventuras,1
Bolsa de componentes,25 po,Foco de lanzamiento de conjuros,"0,2"
Símbolo sagrado,5 po,Foco de lanzamiento de conjuros,1
Agua bendita (frasco),25 po,Equipo de aventuras,"0,2"
Ropa de viajero,5 pp,Ropa,1
Ropa fina,15 po,Ropa,1
Disfraz,5 po,Equipo de aventuras,1
Trampa de caza básica,5 po,Equipo de aventuras,1
Escalera (2 casillas),1 pp,Equipo de aventuras,1
Linterna,5 po,Generador de luz,1
"Cerradura ",10 po,Equipo de aventuras,"0,2"
Juego de vajilla,2 pp,Equipo de aventuras,1
Espejo compacto,5 po,Equipo de aventuras,"0,2"
Papel (una hoja),2 pp,Equipo de aventuras,0
Pértiga (2 casillas),5 pc,Equipo de aventuras,1
Ariete portátil,4 po,Equipo de aventuras,2
Raciones (1 día),5 pp,Equipo de aventuras,"0,2"
Cuerda (10 casillas),1 po,Equipo de aventuras,1
Balanza de mercader,5 po,Equipo de aventuras,"0,2"
Pala,2 po,Equipo de aventuras,1
Silbato de señales,5 pc,Equipo de aventuras,"0,2"
Foco primario,5 po,Foco de lanzamiento de conjuros,1
Foco vórtice,5 po,Foco de lanzamiento de conjuros,1
Picos de hierro (10),1 po,Equipo de aventuras,1
Catalejo,1.000 po,Equipo de aventuras,"0,2"
Tienda para dos personas,2 po,Equipo de aventuras,2
Yesquero,5 pp,Equipo de aventuras,"0,2"
Antorcha,1 po,Generador de luz,"0,2"
Túnica,1 po,Ropa,1
Mapa,1 po,Equipo de aventuras,"0,2"
"Perdigones ",5 po,Munición,"0,2"
Olla de hierro,2 po,Equipo de aventuras,2
Poción de Curación,50 po,Poción,"0,2"
Poción de Maná,80 po,Poción,"0,2"
Poción de Escudo Etéreo,80,Poción,"0,2"
Poción de Aliento Limpio,35 po,Poción,"0,2"
Fuego Alquímico,50 po,Mezclas Alquímicas,"0,2"
Ácido Alquímico,25 po,Mezclas Alquímicas,"0,2"
Viento Embotellado,60 po,Mezclas Alquímicas,"0,2"
"Aceite ",1 po,Mezclas Alquímicas,"0,2"
Pólvora,35 po,Mezclas Alquímicas,"0,2"
Bomba de Humo,20 po,Mezclas Alquímicas,"0,2"
Pegamento Instantáneo,30 po,Mezclas Alquímicas,"0,2"
Sales Reactivas,25 po,Mezclas Alquímicas,"0,2"
Cristal Tronador,50 po,Mezclas Alquímicas,"0,2"
Veneno Básico,100 po,Veneno,"0,2"
Veneno de Sueño,200 po,Veneno,"0,2"
Aceite Resbaladizo,20 po,Mezclas Alquímicas,"0,2"
Veneno Paralizante,300 po,Veneno,"0,2"
Veneno Ácido de Víbora,120 po,Veneno,"0,2"
Veneno de Niebla Entumecedora,250 po,Veneno,"0,2"
Veneno Debilitante,80 po,Veneno,"0,2"
Trampa de Caza,5 po,Equipo de aventuras,2
Antídoto,50 po,Brebajes Herbales,"0,2"
Perfume,25 po,Brebajes Herbales,"0,2"
Ungüento de Cierre de Heridas,30 po,Brebajes Herbales,"0,2"
Infusión Vigorizante,20 po,Brebajes Herbales,"0,2"
Bálsamo Calmante,20 po,Brebajes Herbales,"0,2"
Aceite de Mente Clara,60 po,Brebajes Herbales,"0,2"
Ungüento de Piel de Corteza,75 po,Brebajes Herbales,"0,2"
Tónico de Paso Ligero,40 po,Brebajes Herbales,"0,2"
Ungüento Repelente,15 po,Brebajes Herbales,"0,2"
Brebaje de Acero en el Estómago,15 po,Brebajes Herbales,"0,2"
Galletas de Avena y Miel,5 pc,Snacks,"0,2"
Cecina de Camino,5 pc,Snacks,"0,2"
Queso de Corteza Dura,8 pc,Snacks,"0,2"
Barritas de Frutos Secos y Especias,2 po,Snacks,"0,2"
Sopa de Viajero en Pastilla,3 po,Snacks,
Pastel de Miel y Hierbas,15 po,Snacks,"0,2"
