Nombre,CA,Categoria,Coste,Espacios,Propiedades
Acolchada,11 + DES,Ligera," 5 po",3,"Ignífuga (Armaduras%20y%20escudos/Propiedades%20de%20armas/Ign%C3%ADfuga%203df82858a77580b2acade540d77fc2aa.md), Aislante (Armaduras%20y%20escudos/Propiedades%20de%20armas/Aislante%203df82858a77580fb8d12f947d9bf88d1.md)"
Tejido de Sombra,11 + DES,Ligera,60 po,2,"Sigilosa (Armaduras%20y%20escudos/Propiedades%20de%20armas/Sigilosa%203df82858a77580b19ce3f7a4c4a1e4d4.md), Inflamable (Armaduras%20y%20escudos/Propiedades%20de%20armas/Inflamable%203df82858a7758063bb37ca32e2f4ee97.md)"
Cuero,11 + DES,Ligera,10 po,3,"Ignífuga (Armaduras%20y%20escudos/Propiedades%20de%20armas/Ign%C3%ADfuga%203df82858a77580b2acade540d77fc2aa.md), Reforzada (Armaduras%20y%20escudos/Propiedades%20de%20armas/Reforzada%203df82858a7758089ab6affb447f31e0c.md)"
Cuero Tachonado,12 + DES,Ligera,45 po,6,"Aislante (Armaduras%20y%20escudos/Propiedades%20de%20armas/Aislante%203df82858a77580fb8d12f947d9bf88d1.md), Reforzada (Armaduras%20y%20escudos/Propiedades%20de%20armas/Reforzada%203df82858a7758089ab6affb447f31e0c.md)"
Seda de Araña,12 + DES,Ligera,120 PO,2,"Reforzada (Armaduras%20y%20escudos/Propiedades%20de%20armas/Reforzada%203df82858a7758089ab6affb447f31e0c.md), Sigilosa (Armaduras%20y%20escudos/Propiedades%20de%20armas/Sigilosa%203df82858a77580b19ce3f7a4c4a1e4d4.md)"
Piel,12 + DES (max 2),Media,10 po,6,Aislante (Armaduras%20y%20escudos/Propiedades%20de%20armas/Aislante%203df82858a77580fb8d12f947d9bf88d1.md)
Piel Mimética,12 + DES (max 2),Media,40 po,6,"Aislante (Armaduras%20y%20escudos/Propiedades%20de%20armas/Aislante%203df82858a77580fb8d12f947d9bf88d1.md), Sigilosa (Armaduras%20y%20escudos/Propiedades%20de%20armas/Sigilosa%203df82858a77580b19ce3f7a4c4a1e4d4.md)"
Camisote de Malla,13 + DES (max 2),Media,50 po,6,Reforzada (Armaduras%20y%20escudos/Propiedades%20de%20armas/Reforzada%203df82858a7758089ab6affb447f31e0c.md)
Coraza,14 + DES (max 2),Media,400 po,6,"Reforzada (Armaduras%20y%20escudos/Propiedades%20de%20armas/Reforzada%203df82858a7758089ab6affb447f31e0c.md), Conductora (Armaduras%20y%20escudos/Propiedades%20de%20armas/Conductora%203e082858a7758038be9df4d5dcd0cad4.md)"
Media Placa,15 + DES (max 2),Media,750 po,9,"Reforzada (Armaduras%20y%20escudos/Propiedades%20de%20armas/Reforzada%203df82858a7758089ab6affb447f31e0c.md), Conductora (Armaduras%20y%20escudos/Propiedades%20de%20armas/Conductora%203e082858a7758038be9df4d5dcd0cad4.md), Llamativa (Armaduras%20y%20escudos/Propiedades%20de%20armas/Llamativa%203e082858a775806dafe2e9c81610c18d.md)"
Tablillas de Madera,15 + DES (mod 2),Media,400 po,6,"Reforzada (Armaduras%20y%20escudos/Propiedades%20de%20armas/Reforzada%203df82858a7758089ab6affb447f31e0c.md), Inflamable (Armaduras%20y%20escudos/Propiedades%20de%20armas/Inflamable%203df82858a7758063bb37ca32e2f4ee97.md), Llamativa (Armaduras%20y%20escudos/Propiedades%20de%20armas/Llamativa%203e082858a775806dafe2e9c81610c18d.md), Pesada (Armaduras%20y%20escudos/Propiedades%20de%20armas/Pesada%203e082858a775803f9df1e6eda9228b28.md)"
Cota de Anillas,14,Pesada,30 po,9,"Reforzada (Armaduras%20y%20escudos/Propiedades%20de%20armas/Reforzada%203df82858a7758089ab6affb447f31e0c.md), Llamativa (Armaduras%20y%20escudos/Propiedades%20de%20armas/Llamativa%203e082858a775806dafe2e9c81610c18d.md)"
Entramado Cerámico,14,Pesada,240 po,9,"Reforzada (Armaduras%20y%20escudos/Propiedades%20de%20armas/Reforzada%203df82858a7758089ab6affb447f31e0c.md), Aislante (Armaduras%20y%20escudos/Propiedades%20de%20armas/Aislante%203df82858a77580fb8d12f947d9bf88d1.md), Ignífuga (Armaduras%20y%20escudos/Propiedades%20de%20armas/Ign%C3%ADfuga%203df82858a77580b2acade540d77fc2aa.md)"
