Nombre,Categoría,Combate,Coste,Daño,Distancia,Espacios,Munición,Propiedades,Técnicas,Versatil
Nudilleras,Simple,Cuerpo a cuerpo,1 po,1d4 contundente,,1,,Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md),Golpe Aturdidor (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20Aturdidor%203db82858a775804a81e1f95b01eda420.md),
Cuchillo de carnicero,Simple,Cuerpo a cuerpo,1 po,1d4 cortante,,1,,Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md),Tajo Preciso (Armer%C3%ADa/T%C3%A9cnicas/Tajo%20Preciso%203db82858a77580bf995ce33933f01cd2.md),
Garrote,Simple,Cuerpo a cuerpo,1 pp,1d4 contundente,,1,,Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md),Golpe Aturdidor (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20Aturdidor%203db82858a775804a81e1f95b01eda420.md),
Daga,Simple,Cuerpo a cuerpo,2 po,1d4 perforante,4/12,1,,"Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md), Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md), Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md)",Tajo Preciso (Armer%C3%ADa/T%C3%A9cnicas/Tajo%20Preciso%203db82858a77580bf995ce33933f01cd2.md),
Garras de combate,Simple,Cuerpo a cuerpo,3 po,1d4 cortante,,1,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md)",Tajo Preciso (Armer%C3%ADa/T%C3%A9cnicas/Tajo%20Preciso%203db82858a77580bf995ce33933f01cd2.md),
Gran garrote,Simple,Cuerpo a cuerpo,2 pp,1d8 contundente,,3,,"Pesada (Armer%C3%ADa/Propiedades/Pesada%203db82858a775800fa41aeb3b0e26db52.md), A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md)",Golpe Aturdidor (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20Aturdidor%203db82858a775804a81e1f95b01eda420.md),
Hacha de mano,Simple,Cuerpo a cuerpo,5 po,1d6 cortante,4/12,1,,"Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md), Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md)",Golpe Amplio (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20Amplio%203db82858a77580bbaa68d1932714ff0c.md),
Jabalina,Simple,Cuerpo a cuerpo,,1d6 perforante,6/24,,,Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md),,
Martillo ligero,Simple,Cuerpo a cuerpo,2 po,1d6 contundente,4/12,1,,"Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md), Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md)",Golpe Aturdidor (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20Aturdidor%203db82858a775804a81e1f95b01eda420.md),
Maza,Simple,Cuerpo a cuerpo,5 po,1d6 contundente,,2,,,Golpe Aturdidor (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20Aturdidor%203db82858a775804a81e1f95b01eda420.md),
Machete,Simple,Cuerpo a cuerpo,5 po,1d6 cortante,,1,,Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md),Tajo Preciso (Armer%C3%ADa/T%C3%A9cnicas/Tajo%20Preciso%203db82858a77580bf995ce33933f01cd2.md),
Bastón,Simple,Cuerpo a cuerpo,2 pp,1d6 contundente,,2,,Versátil (Armer%C3%ADa/Propiedades/Vers%C3%A1til%203db82858a775806796dbdfd8ffd6265b.md),Golpe Aturdidor (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20Aturdidor%203db82858a775804a81e1f95b01eda420.md),1d8
Daga de puño,Simple,Cuerpo a cuerpo,2 po,1d6 perforante,,,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md)",Tajo Preciso (Armer%C3%ADa/T%C3%A9cnicas/Tajo%20Preciso%203db82858a77580bf995ce33933f01cd2.md),
Guadaña,Simple,Cuerpo a cuerpo,8 po,2d4 cortante,,3,,"Pesada (Armer%C3%ADa/Propiedades/Pesada%203db82858a775800fa41aeb3b0e26db52.md), A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Torpe (Armer%C3%ADa/Propiedades/Torpe%203dc82858a77580c9bfa2d27f15d1a50a.md)",Golpe Amplio (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20Amplio%203db82858a77580bbaa68d1932714ff0c.md),
Hoz,Simple,Cuerpo a cuerpo,1 po,1d6 cortante,,1,,Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md),Tajo Preciso (Armer%C3%ADa/T%C3%A9cnicas/Tajo%20Preciso%203db82858a77580bf995ce33933f01cd2.md),
Lanza,Simple,Cuerpo a cuerpo,1 po,1d6 perforante,4/12,2,,"Versátil (Armer%C3%ADa/Propiedades/Vers%C3%A1til%203db82858a775806796dbdfd8ffd6265b.md), Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md), Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md)",Mantener a Raya (Armer%C3%ADa/T%C3%A9cnicas/Mantener%20a%20Raya%203dc82858a77580f586f6f50238730611.md),1d8
Tridente,Simple,Cuerpo a cuerpo,5 po,1d6 perforante,4/12,2,,"Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md), Versátil (Armer%C3%ADa/Propiedades/Vers%C3%A1til%203db82858a775806796dbdfd8ffd6265b.md), Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md)",Mantener a Raya (Armer%C3%ADa/T%C3%A9cnicas/Mantener%20a%20Raya%203dc82858a77580f586f6f50238730611.md),1d8
Cerbatana,Simple,A distancia,10 po,1 perforante,5/20,1,Dardos,Munición (Armer%C3%ADa/Propiedades/Munici%C3%B3n%203dc82858a77580f28ecdfeea396e8075.md),Tiro Estable (Armer%C3%ADa/T%C3%A9cnicas/Tiro%20Estable%203dc82858a77580e79c40d4898e3d80c6.md),
Ballesta ligera,Simple,A distancia,25 po,1d8 perforante,16/64,2,Virotes,"Munición (Armer%C3%ADa/Propiedades/Munici%C3%B3n%203dc82858a77580f28ecdfeea396e8075.md), A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md)",Tiro Estable (Armer%C3%ADa/T%C3%A9cnicas/Tiro%20Estable%203dc82858a77580e79c40d4898e3d80c6.md),
Dardo Arrojadizo,Simple,A distancia,5 pc,1d4 perforante,4/12,1,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md)",Puntería Instintiva (Armer%C3%ADa/T%C3%A9cnicas/Punter%C3%ADa%20Instintiva%203db82858a775808ba7a7cc7ce9c364c1.md),
Gancho de agarre,Simple,A distancia,2 po,-,3/6,2,,Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md),Manos Hábiles (Armer%C3%ADa/T%C3%A9cnicas/Manos%20H%C3%A1biles%203dc82858a7758013ba68f0456bbe8891.md),
Arpón,Simple,A distancia,5 po,1d6 perforante,4/12,2,,"Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md), Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md)",Puntería Instintiva (Armer%C3%ADa/T%C3%A9cnicas/Punter%C3%ADa%20Instintiva%203db82858a775808ba7a7cc7ce9c364c1.md),
Red,Simple,A distancia,1 po,-,1/3,2,,Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md),Manos Hábiles (Armer%C3%ADa/T%C3%A9cnicas/Manos%20H%C3%A1biles%203dc82858a7758013ba68f0456bbe8891.md),
Arco corto,Simple,A distancia,25 po,1d6 perforante,16/64,1,Flechas,"Munición (Armer%C3%ADa/Propiedades/Munici%C3%B3n%203dc82858a77580f28ecdfeea396e8075.md), A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md)",Tiro Estable (Armer%C3%ADa/T%C3%A9cnicas/Tiro%20Estable%203dc82858a77580e79c40d4898e3d80c6.md),
Honda,Simple,A distancia,1 pp,1d4 contundente,6/24,"0,2",Piedras,Munición (Armer%C3%ADa/Propiedades/Munici%C3%B3n%203dc82858a77580f28ecdfeea396e8075.md),Tiro Estable (Armer%C3%ADa/T%C3%A9cnicas/Tiro%20Estable%203dc82858a77580e79c40d4898e3d80c6.md),
Trabuco,Marcial,A distancia,60 po,2d6 perforante,1/4,3,Perdigones,"Munición (Armer%C3%ADa/Propiedades/Munici%C3%B3n%203dc82858a77580f28ecdfeea396e8075.md), A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md)",Disparo a Bocajarro (Armer%C3%ADa/T%C3%A9cnicas/Disparo%20a%20Bocajarro%203df82858a77580b99903cc43a862be42.md),
Mosquete,Marcial,A distancia,50 po,1d12 perforante,16/64,3,Balas,"Munición (Armer%C3%ADa/Propiedades/Munici%C3%B3n%203dc82858a77580f28ecdfeea396e8075.md), A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Conspicua (Armer%C3%ADa/Propiedades/Conspicua%203dd82858a77580ec8911caf5d86de523.md)",Tiro Estable (Armer%C3%ADa/T%C3%A9cnicas/Tiro%20Estable%203dc82858a77580e79c40d4898e3d80c6.md),
Pistola,Marcial,A distancia,25 po,2d6 perforante,4/12,2,Balas,"Munición (Armer%C3%ADa/Propiedades/Munici%C3%B3n%203dc82858a77580f28ecdfeea396e8075.md), Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md), Conspicua (Armer%C3%ADa/Propiedades/Conspicua%203dd82858a77580ec8911caf5d86de523.md)",Disparo a Bocajarro (Armer%C3%ADa/T%C3%A9cnicas/Disparo%20a%20Bocajarro%203df82858a77580b99903cc43a862be42.md),
Espada bastarda,Marcial,Cuerpo a cuerpo,40 po,1d10 cortante,,2,,Versátil (Armer%C3%ADa/Propiedades/Vers%C3%A1til%203db82858a775806796dbdfd8ffd6265b.md),Cambio de Guardia (Armer%C3%ADa/T%C3%A9cnicas/Cambio%20de%20Guardia%203dd82858a77580e6a912cc8f1b6fc165.md),2d6
Bastón corto,Marcial,Cuerpo a cuerpo,5 po,1d6 contundente,,1,,Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md),Golpe de Castigo (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20de%20Castigo%203dd82858a77580ffbf81dbe6526a116b.md),
Hacha de guerra,Marcial,Cuerpo a cuerpo,10 po,1d8 cortante,,2,1d10,Versátil (Armer%C3%ADa/Propiedades/Vers%C3%A1til%203db82858a775806796dbdfd8ffd6265b.md),Cambio de Guardia (Armer%C3%ADa/T%C3%A9cnicas/Cambio%20de%20Guardia%203dd82858a77580e6a912cc8f1b6fc165.md),
Bastón-cuchilla,Marcial,Cuerpo a cuerpo,50 po,2d6 cortante,,3,,"A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Pesada (Armer%C3%ADa/Propiedades/Pesada%203db82858a775800fa41aeb3b0e26db52.md)",Impulso Bestial (Armer%C3%ADa/T%C3%A9cnicas/Impulso%20Bestial%203dd82858a7758077a709dca138ef25b0.md),
Abanico de filo,Marcial,Cuerpo a cuerpo,5 po,1d4 cortante,,1,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md)",Filo Escondido (Armer%C3%ADa/T%C3%A9cnicas/Filo%20Escondido%203dd82858a775803dbf58e34468f384fb.md),
Bastón-estoque,Marcial,Cuerpo a cuerpo,25 po,1d8 cortante,,2,,Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md),Filo Escondido (Armer%C3%ADa/T%C3%A9cnicas/Filo%20Escondido%203dd82858a775803dbf58e34468f384fb.md),
Cadena,Marcial,Cuerpo a cuerpo,20 po,2d4 contundente,,3,,"A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Torpe (Armer%C3%ADa/Propiedades/Torpe%203dc82858a77580c9bfa2d27f15d1a50a.md), Imprudente (Armer%C3%ADa/Propiedades/Imprudente%203dd82858a77580e7be44fe127a11fd23.md)",Enredo (Armer%C3%ADa/T%C3%A9cnicas/Enredo%203dd82858a77580c6b82fca47229fd610.md),
Cadena con puas,Marcial,Cuerpo a cuerpo,25 po,2d4 perforante,,3,,"A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Imprudente (Armer%C3%ADa/Propiedades/Imprudente%203dd82858a77580e7be44fe127a11fd23.md), Torpe (Armer%C3%ADa/Propiedades/Torpe%203dc82858a77580c9bfa2d27f15d1a50a.md)",Enredo (Armer%C3%ADa/T%C3%A9cnicas/Enredo%203dd82858a77580c6b82fca47229fd610.md),
Daga de parada,Marcial,Cuerpo a cuerpo,20 po,1d6 perforante,,1,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md)",Filo Escondido (Armer%C3%ADa/T%C3%A9cnicas/Filo%20Escondido%203dd82858a775803dbf58e34468f384fb.md),
Mangual,Marcial,Cuerpo a cuerpo,10 po,1d8 contundente,,1,,"Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md), Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md)",Golpe de Castigo (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20de%20Castigo%203dd82858a77580ffbf81dbe6526a116b.md),
Guja,Marcial,Cuerpo a cuerpo,10 po,1d10 cortante,,2,,"Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md), Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md)",Línea Inquebrantable (Armer%C3%ADa/T%C3%A9cnicas/L%C3%ADnea%20Inquebrantable%203dd82858a77580d8b78bf1eef0ede814.md),
Hacha grande,Marcial,Cuerpo a cuerpo,30 po,1d12 cortante,,3,,"A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Pesada (Armer%C3%ADa/Propiedades/Pesada%203db82858a775800fa41aeb3b0e26db52.md), Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md)",Impulso Bestial (Armer%C3%ADa/T%C3%A9cnicas/Impulso%20Bestial%203dd82858a7758077a709dca138ef25b0.md),
Mandoble,Marcial,Cuerpo a cuerpo,50 po,2d6 cortante,,2,,"A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Pesada (Armer%C3%ADa/Propiedades/Pesada%203db82858a775800fa41aeb3b0e26db52.md)",Impulso Bestial (Armer%C3%ADa/T%C3%A9cnicas/Impulso%20Bestial%203dd82858a7758077a709dca138ef25b0.md),
Alabarda,Marcial,Cuerpo a cuerpo,20 po,1d10 cortante,,2,,"A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md), Pesada (Armer%C3%ADa/Propiedades/Pesada%203db82858a775800fa41aeb3b0e26db52.md), Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md)",Línea Inquebrantable (Armer%C3%ADa/T%C3%A9cnicas/L%C3%ADnea%20Inquebrantable%203dd82858a77580d8b78bf1eef0ede814.md),
Katana,Marcial,Cuerpo a cuerpo,40 po,1d8 cortante,,2,,"Versátil (Armer%C3%ADa/Propiedades/Vers%C3%A1til%203db82858a775806796dbdfd8ffd6265b.md), Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md)",Cambio de Guardia (Armer%C3%ADa/T%C3%A9cnicas/Cambio%20de%20Guardia%203dd82858a77580e6a912cc8f1b6fc165.md),1d10
Khopesh,Marcial,Cuerpo a cuerpo,10 po,1d8 cortante,,2,,Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md),Finta (Armer%C3%ADa/T%C3%A9cnicas/Finta%203dd82858a77580edbe68f37c108f7220.md),
Kpinga,Marcial,Cuerpo a cuerpo,25 po,1d6 cortante,,2,,Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md),Finta (Armer%C3%ADa/T%C3%A9cnicas/Finta%203dd82858a77580edbe68f37c108f7220.md),
