Nombre,"Descripción ",Espacios,Precio (po)
Equipo para mazmorras,"Para quien baja a la oscuridad y quiere volver. Cuerdas, palancas y trucos para que el suelo no te traicione.","6,8",20
Equipo para eruditos,"Tinta bajo las uñas y un cartucho de gas en el bolsillo. El saber pesa poco, pero sale caro.","7,2",79
Equipo para sacerdotes,"Fe portátil: un poco de protección, primeros auxilios y algo de ceremonial.","6,2",52
Equipo para ladrones,"Silencio, ganzúas y siempre una vía de escape.","5,8",68
Equipo para artistas,"El espectáculo debe continuar, incluso en una posada sin público.",7,45
Equipo de cazador,Comer de lo que cazas y no acabar tú en el menú.,"8,4",22
Equipo de diplomáticos,"Aquí las armas son el sello, la etiqueta y la primera impresión.",4,75
Equipo para guerreros,"Cuando la armadura y el arma ya están elegidas, lo que decide una campaña larga es lo demás: remendar el equipo, cerrar una brecha y que la tropa no rompa filas.",8,46
Equipo para mercaderes,"Comprar barato, vender caro y llegar vivo a la siguiente ciudad-estado. Aquí el oro viaja en cuadernos, balanzas y buenas maneras.","8,2",82
Equipo para ingenieros,"Pistones, válvulas y gas a presión. Para un ingeniero, todo problema es un mecanismo esperando a que alguien lo abra.","9,4",110
