Nombre,Dificultad,Disponibilidad,Nombre alfabeto,Familia,Rama
"Vhaldrés ",18,80,Escritura Común,Lengua Silvana,Rama Humana
"Lapiro ",22,60,Escritura Común (mezclada),Lengua Silvana,Rama Humana
"Kruplik ",30,50,Marcas de Guerra (simplificadas),Lengua Primordial,Rama Orca
"Ilyrano ",30,45,Escritura Común (cursiva salvaje),Lengua Silvana,Rama Humana
"Ménico ",35,40,Rúnica de Veta (simplificada),Lengua Primordial,Rama Enana
"Nakarín ",35,38,Escritura Común (con símbolos naúticos propios),Lengua Silvana,Rama Humana
Gorrak,40,35,Marcas de Guerra,Lengua Primordial,Rama Orca
"Sylvaran ",38,32,Élfico de Hilo Fino (grabado en corteza),Lengua Silvana,Rama Élfica
Acuano,50,32,Corrientes,Lengua Primordial,
"Terrano ",60,30,Piedra Tallada,Lengua Primordial,
Krómico,55,30,Escritura de Brasa,Lengua Primordial,Rama Dracónica
"Altharion ",48,28,Élfico de Hilo Fino,Lengua Silvana,Rama Élfica
"Ternavar ",55,27,Marcas Feral,Lengua Silvana,
"Dúrmico ",52,25,Rúnica de Veta,Lengua Primordial,Rama Enana
"Mícel ",65,22,Esporas,Lengua Silvana,
"Umbrethi ",58,20,Élfico de Hilo Fino (invertido),Lengua Silvana,Rama Élfica
Ruinés,70,20,Glifos Rotos,Lengua Hendida,
"Sombrak ",55,18,Marcas de Guerra (adaptado),Lengua Primordial,Rama Orca
Ignano,65,18,Escritura de Brasa,Lengua Primordial,
"Hondral ",50,15,Escritura Común (adaptada para oscuridad),Lengua Silvana,Rama Humana
"Aurínico ",68,15,Escritura de Brasa (grabado en metal),Lengua Primordial,Rama Dracónica
Aurano,58,14,Rafas,Lengua Primordial,
Crútico,62,12,Marcas de Coloso,Lengua Primordial,Rama Gigante
Roto,85,12,Glifos Rotos,Lengua Hendida,
Silvano,72,10,Escritura Florada,Lengua Silvana,
Pétrico,78,10,Rúnica de Veta (arcaica),Lengua Primordial,Rama Enana
"Aldúrico ",75,8,Marcas de Coloso,Lengua Primordial,Rama Gigante
"Gemálico ",82,6,Escritura de Brasa (tallado en cristal),Lengua Primordial,Rama Dracónica
Tapízico,95,5,Escritura del Hilo,Lengua Hendida,
Valmiro,88,4,Marcas de Coloso (primordial),Lengua Primordial,Rama Gigante
Primordial,98,3,Escritura Elemental,Lengua Primordial,
