Nombre,"Nivel ",Esfera de conjuro,Ritual,Tipo duración,Rango,Componentes
Arco Imparable,6º círculo,"Cinético, Energía",No,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)," 16 casillas, cadena que salta entre objetivos a máx. 4 casillas entre sí","M, S, V"
Bóveda de Bolsillo,6º círculo,"Origen, Realidad",No,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),Toque (un objeto contenedor de al menos 1 pie cúbico),"M, S, V"
Cadenas de la Condena,6º círculo,"Cinético, Destino",No,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),"12 casillas ","M, S, V"
Columna de Ámbar,6º círculo,"Cénit, Destino",No,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),12 casillas,"M, S, V"
Consagrar Territorio,6º círculo,"Destino, Restauración",Yes,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),Personal (radio 10 casillas),"M, S, V"
Cuerpo que Vaga,6º círculo,"Espejismo, Realidad",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
"Desintegrar ",6º círculo,"Catálisis, Cinético",No,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21),12 casillas,"M, S, V"
Dominio de Corte,6º círculo,"Destino, Mente",No,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),"8 casillas, hasta 6 objetivos","S, V"
El Trono del Juicio,6º círculo,"Destino, Mente",No,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),12 casillas,"M, S, V"
Escudo de Almas,6º círculo,"Restauración, Ruina",No,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),Personal (radio 6 casillas ),"M, S, V"
