Nombre,Tipo
Agarrado,Pasajera
Agotamiento,Progresivas
Asustado,Escalonado
Aterrorizado,Escalonado
Aturdido,Escalonado
Cargado,Pasajera
Cegado,Escalonado
Corroído,Pasajera
Desquiciado,Escalonado
Electrificado,Pasajera
Encantado,Pasajera
Enfriado,Pasajera
Enloquecido,Escalonado
Ensangrentado,Progresivas
Ensordecido,Pasajera
Envenenado,Progresivas
Estable,Pasajera
Estupefacto,Escalonado
Incapacitado,Escalonado
Inconsciente,Escalonado
Inmovilizado,Pasajera
Invisible,Pasajera
Marchito,Pasajera
Mojado,Pasajera
Moribundo,Persistente
Ofuscado,Escalonado
Paralizado,Pasajera
Petrificado,Persistente
Quemado,Progresivas
Tumbado,Pasajera
