Nombre,Etiquetas
Agotamiento,Progresiva
Ensangrentado,Progresiva
Envenenado,Progresiva
Quemado,Progresiva
Asustado,Escalonada
Aterrorizado,Escalonada
Aturdido,Escalonada
Inconsciente,Escalonada
Ofuscado,Escalonada
Cegado,Escalonada
Estupefacto,Escalonada
Desquiciado,Escalonada
Agarrado,Pasajeras
Corroído,Pasajeras
Enfriado,Pasajeras
Encantado,Pasajeras
Ensordecido,Pasajeras
Ensordecido,Pasajeras
Incapacitado,Pasajeras
Estable,Pasajeras
Inmovilizado,Pasajeras
Invisible,Pasajeras
Marchito,Pasajeras
Mojado,Pasajeras
Paralizado,Pasajeras
Tumbado,Pasajeras
Moribundo,Persistente
Petrificado,Persistente
Enloquecido,Persistente
