Nombre,Armería,Descripción
Acero Versátil,"Lanza (https://app.notion.com/p/Lanza-25082858a77580ad8032fcd1a205edcb?pvs=21), Tridente (https://app.notion.com/p/Tridente-25082858a775806ca019d995f54f41fa?pvs=21), Espada Larga (https://app.notion.com/p/Espada-Larga-25182858a7758075b1e9de54d954100e?pvs=21), Hacha de batalla (https://app.notion.com/p/Hacha-de-batalla-25182858a775807685e9e5cec8d277ff?pvs=21), Martillo de guerra (https://app.notion.com/p/Martillo-de-guerra-25182858a7758046ab60f02487923048?pvs=21), Katana (https://app.notion.com/p/Katana-25182858a77580dab85ad65a1dc6f613?pvs=21), Espada bastarda (https://app.notion.com/p/Espada-bastarda-25182858a77580e194a1eb5c57194717?pvs=21), Cuchara gigante (https://app.notion.com/p/Cuchara-gigante-2a982858a775807290fcffbfe484648e?pvs=21)",La escuela de la espada que se adapta: una o dos manos según dicte la situación.
Agarre,"Hoz  (https://app.notion.com/p/Hoz-25082858a775805aa64ceb7fa3c4a5d2?pvs=21), Guadaña (https://app.notion.com/p/Guada-a-25082858a775800288d9e3098f8fb626?pvs=21), Khopesh (https://app.notion.com/p/Khopesh-25182858a77580b99e16f8f9ec90dc10?pvs=21), Kusari-Gama (https://app.notion.com/p/Kusari-Gama-25182858a775807b953de3bb6f019729?pvs=21), Gancho de Agarre (https://app.notion.com/p/Gancho-de-Agarre-25082858a77580aaa78af989da1b6b3f?pvs=21), Látigo (https://app.notion.com/p/L-tigo-25182858a77580d38cb1fa18e1a6a2c4?pvs=21)","El arte de enganchar, tirar y segar: armas con hoja curva o gancho que atrapan al enemigo tanto como lo cortan."
Aplastador,"Garrote (https://app.notion.com/p/Garrote-25082858a77580959625cb1f8f4ad43d?pvs=21), Maza (https://app.notion.com/p/Maza-25082858a77580949858cd2b01841175?pvs=21), Lucero del alba (https://app.notion.com/p/Lucero-del-alba-25182858a7758019bfbdca57b01d168e?pvs=21), Nunchakus (https://app.notion.com/p/Nunchakus-25182858a77580f9aecce6186cd11144?pvs=21), Porra (https://app.notion.com/p/Porra-25182858a7758010b13bffc820a26f98?pvs=21), Martillo de guerra (https://app.notion.com/p/Martillo-de-guerra-25182858a7758046ab60f02487923048?pvs=21), Macuahuitl (https://app.notion.com/p/Macuahuitl-25182858a775809c9c1bc78123a620d7?pvs=21), Pico de guerra (https://app.notion.com/p/Pico-de-guerra-25182858a775806fbf9dc017f6c0f03a?pvs=21)","La brutalidad contundente: romper huesos, destrozar escudos y aturdir al enemigo."
Asta,"Guja (https://app.notion.com/p/Guja-25182858a775809f9539de9525b4e91c?pvs=21), Alabarda (https://app.notion.com/p/Alabarda-25182858a77580758e10e88e24d46fcd?pvs=21), Pica (https://app.notion.com/p/Pica-25182858a7758013b368e7ed30a8b1c2?pvs=21), Cadena (https://app.notion.com/p/Cadena-25182858a77580d885b9e4a589fafe83?pvs=21), Cadena espinada (https://app.notion.com/p/Cadena-espinada-25182858a77580259756c9f4e409736e?pvs=21), Kusari-Gama (https://app.notion.com/p/Kusari-Gama-25182858a775807b953de3bb6f019729?pvs=21), Martillo meteoro (https://app.notion.com/p/Martillo-meteoro-25182858a775800d81c7cfdf268fecf7?pvs=21), Tijeras gigantes (https://app.notion.com/p/Tijeras-gigantes-2b582858a775805ba612e62a212342bc?pvs=21), Urumi (https://app.notion.com/p/Urumi-25182858a7758039918cf6b629175b1a?pvs=21), Bastón (https://app.notion.com/p/Bast-n-25082858a77580cd916dcf51e28f911f?pvs=21)","El dominio de las armas de asta: control del terreno, golpes en barrido y mantener al enemigo a distancia con ambas manos."
Brazo Largo,"Urumi (https://app.notion.com/p/Urumi-25182858a7758039918cf6b629175b1a?pvs=21), Yo-Yo (https://app.notion.com/p/Yo-Yo-25182858a775809abae6e3258e8ee9c9?pvs=21), Mayal (https://app.notion.com/p/Mayal-25182858a77580aaad18e44780509ee9?pvs=21), Cadena espinada (https://app.notion.com/p/Cadena-espinada-25182858a77580259756c9f4e409736e?pvs=21), Cadena (https://app.notion.com/p/Cadena-25182858a77580d885b9e4a589fafe83?pvs=21), Kusari-Gama (https://app.notion.com/p/Kusari-Gama-25182858a775807b953de3bb6f019729?pvs=21), Martillo meteoro (https://app.notion.com/p/Martillo-meteoro-25182858a775800d81c7cfdf268fecf7?pvs=21), Guja (https://app.notion.com/p/Guja-25182858a775809f9539de9525b4e91c?pvs=21)","El dominio del alcance: golpear desde lejos en el cuerpo a cuerpo, controlar el espacio y enredar al enemigo."
Escudo y La Lanza,"Tridente (https://app.notion.com/p/Tridente-25082858a775806ca019d995f54f41fa?pvs=21), Lanza de caballería (https://app.notion.com/p/Lanza-de-caballer-a-25182858a77580538fd6fb558c2f9327?pvs=21), Estoque (https://app.notion.com/p/Estoque-25182858a775807cab5beda6321f92ee?pvs=21), Kpinga (https://app.notion.com/p/Kpinga-25182858a77580eaadbafd9869704fea?pvs=21), Porra (https://app.notion.com/p/Porra-25182858a7758010b13bffc820a26f98?pvs=21)","La táctica defensiva: mantener al enemigo a raya, proteger aliados y combatir en formación."
Gladiador,"Tridente (https://app.notion.com/p/Tridente-25082858a775806ca019d995f54f41fa?pvs=21), Red (https://app.notion.com/p/Red-25082858a7758067a438fed79dfe6f6c?pvs=21), Maza (https://app.notion.com/p/Maza-25082858a77580949858cd2b01841175?pvs=21), Cadena (https://app.notion.com/p/Cadena-25182858a77580d885b9e4a589fafe83?pvs=21), Mayal (https://app.notion.com/p/Mayal-25182858a77580aaad18e44780509ee9?pvs=21), Espada corta (https://app.notion.com/p/Espada-corta-25182858a77580ee9fa7f886dcca6b7f?pvs=21), Boleadoras (https://app.notion.com/p/Boleadoras-25182858a775802db55ac81e5486d8b6?pvs=21), Lanza de caballería (https://app.notion.com/p/Lanza-de-caballer-a-25182858a77580538fd6fb558c2f9327?pvs=21), Nudilleras (https://app.notion.com/p/Nudilleras-25082858a775806cb4dcc2521ec46f45?pvs=21)","El espectáculo del combate: técnicas diseñadas para dominar, humillar y entretener tanto como para matar."
Gran Destructor,"Garrote (https://app.notion.com/p/Garrote-25182858a775804f92afdf1171d56fdf?pvs=21), Guadaña (https://app.notion.com/p/Guada-a-25082858a775800288d9e3098f8fb626?pvs=21), Hacha grande (https://app.notion.com/p/Hacha-grande-25182858a775808ea84cef15d1efd080?pvs=21), Mandoble (https://app.notion.com/p/Mandoble-25182858a775801fb28fdd0c22f9bf9a?pvs=21), Arco largo (https://app.notion.com/p/Arco-largo-25182858a7758015a5b5ff7c0f9bdbef?pvs=21), Arco compuesto (https://app.notion.com/p/Arco-compuesto-25182858a775803c8615e4787a126781?pvs=21), Ballesta de repetición (https://app.notion.com/p/Ballesta-de-repetici-n-25182858a77580ee8209e139204ab57a?pvs=21), Pica (https://app.notion.com/p/Pica-25182858a7758013b368e7ed30a8b1c2?pvs=21), Guja (https://app.notion.com/p/Guja-25182858a775809f9539de9525b4e91c?pvs=21), Alabarda (https://app.notion.com/p/Alabarda-25182858a77580758e10e88e24d46fcd?pvs=21), Tijeras gigantes (https://app.notion.com/p/Tijeras-gigantes-2b582858a775805ba612e62a212342bc?pvs=21)","El camino de las armas pesadas a dos manos que aplastan, tajan y barren."
Granja,"Garrote (https://app.notion.com/p/Garrote-25182858a775804f92afdf1171d56fdf?pvs=21), Garrote grande (https://app.notion.com/p/Garrote-grande-25082858a775809ba8e3d70fdde94aff?pvs=21), Bastón (https://app.notion.com/p/Bast-n-25082858a77580cd916dcf51e28f911f?pvs=21), Guadaña (https://app.notion.com/p/Guada-a-25082858a775800288d9e3098f8fb626?pvs=21), Machete (https://app.notion.com/p/Machete-25082858a77580728fc0fc16e91b73cc?pvs=21), Cuchara gigante (https://app.notion.com/p/Cuchara-gigante-2a982858a775807290fcffbfe484648e?pvs=21), Honda (https://app.notion.com/p/Honda-25082858a775802b8ff3d0703e7d66c5?pvs=21), Jabalina (https://app.notion.com/p/Jabalina-25082858a77580a3ab25eb3b791ddf80?pvs=21), Hoz  (https://app.notion.com/p/Hoz-25082858a775805aa64ceb7fa3c4a5d2?pvs=21)",El combate de quien no nació guerrero: herramientas del campo y el pastoreo convertidas en armas por necesidad o tradición.
Hoja Ligera,"Daga de puño (https://app.notion.com/p/Daga-de-pu-o-25082858a77580279e77c49cc17098b7?pvs=21), Daga (https://app.notion.com/p/Daga-25082858a775809f9b29e21ef53a6b0a?pvs=21), Garras de lucha (https://app.notion.com/p/Garras-de-lucha-25082858a77580d5b09ccb90ecff6962?pvs=21), Espada corta (https://app.notion.com/p/Espada-corta-25182858a77580ee9fa7f886dcca6b7f?pvs=21), Cimitarra (https://app.notion.com/p/Cimitarra-25182858a775802a87bcfa94adf0b544?pvs=21), Estoque (https://app.notion.com/p/Estoque-25182858a775807cab5beda6321f92ee?pvs=21), Abanico de batalla (https://app.notion.com/p/Abanico-de-batalla-25182858a77580f5ad61f312ac9d8b6f?pvs=21), Bastón espada (https://app.notion.com/p/Bast-n-espada-25182858a77580cd9701f37cd644ce1e?pvs=21), Garrote (https://app.notion.com/p/Garrote-25182858a775804f92afdf1171d56fdf?pvs=21)","El arte del combate ágil: fintas, velocidad y precisión sobre la fuerza bruta."
Lanzador Certero,"Hacha de mano (https://app.notion.com/p/Hacha-de-mano-25082858a7758063a164dca2f964ba08?pvs=21), Jabalina (https://app.notion.com/p/Jabalina-25082858a77580a3ab25eb3b791ddf80?pvs=21), Martillo ligero (https://app.notion.com/p/Martillo-ligero-25082858a77580cd95acf3ea6e348eef?pvs=21), Lanza (https://app.notion.com/p/Lanza-25082858a77580ad8032fcd1a205edcb?pvs=21), Tridente (https://app.notion.com/p/Tridente-25082858a775806ca019d995f54f41fa?pvs=21), Arpón (https://app.notion.com/p/Arp-n-25082858a775809793e1f87ffba48b31?pvs=21), Dardo (https://app.notion.com/p/Dardo-25082858a7758001a62de6eb746bd955?pvs=21), Bumerang (https://app.notion.com/p/Bumerang-25182858a7758042bbbbd18a0c3742c2?pvs=21), Chakram (https://app.notion.com/p/Chakram-25182858a77580728ca9fe04f292044b?pvs=21), Estrella arrojadiza (https://app.notion.com/p/Estrella-arrojadiza-25182858a775805e858bd4adda5b9d76?pvs=21), Boleadoras (https://app.notion.com/p/Boleadoras-25182858a775802db55ac81e5486d8b6?pvs=21)",El arte de las armas arrojadizas: dominar el espacio lanzando tus propias armas y recuperándolas.
Pesca,"Arpón (https://app.notion.com/p/Arp-n-25082858a775809793e1f87ffba48b31?pvs=21), Tridente (https://app.notion.com/p/Tridente-25082858a775806ca019d995f54f41fa?pvs=21), Red (https://app.notion.com/p/Red-25082858a7758067a438fed79dfe6f6c?pvs=21), Gancho de Agarre (https://app.notion.com/p/Gancho-de-Agarre-25082858a77580aaa78af989da1b6b3f?pvs=21), Cerbatana (https://app.notion.com/p/Cerbatana-25082858a775808bae5dc60ac1d29298?pvs=21)","Las artes del mar y los ríos: técnicas nacidas de la caza de grandes presas en el agua, adaptadas al combate."
Pólvora,"Pistola (https://app.notion.com/p/Pistola-25182858a77580838044db6e14645443?pvs=21), Mosquete (https://app.notion.com/p/Mosquete-25182858a77580568c8cc999475e44da?pvs=21), Trabuco (https://app.notion.com/p/Trabuco-25182858a775803693f5dd5268847516?pvs=21)","El camino del fuego y el trueno: armas de carga lenta pero devastadoras, que cambian el campo de batalla."
