Nombre,Armería,Descripción
Hoja Ligera,"Daga de puño (https://www.notion.so/Daga-de-pu-o-25082858a77580279e77c49cc17098b7?pvs=21), Daga (https://www.notion.so/Daga-25082858a775809f9b29e21ef53a6b0a?pvs=21), Garras de lucha (https://www.notion.so/Garras-de-lucha-25082858a77580d5b09ccb90ecff6962?pvs=21), Espada corta (https://www.notion.so/Espada-corta-25182858a77580ee9fa7f886dcca6b7f?pvs=21), Cimitarra (https://www.notion.so/Cimitarra-25182858a775802a87bcfa94adf0b544?pvs=21), Estoque (https://www.notion.so/Estoque-25182858a775807cab5beda6321f92ee?pvs=21), Abanico de batalla (https://www.notion.so/Abanico-de-batalla-25182858a77580f5ad61f312ac9d8b6f?pvs=21), Bastón espada (https://www.notion.so/Bast-n-espada-25182858a77580cd9701f37cd644ce1e?pvs=21), Garrote (https://www.notion.so/Garrote-25182858a775804f92afdf1171d56fdf?pvs=21)","El arte del combate ágil: fintas, velocidad y precisión sobre la fuerza bruta."
Acero Versátil,"Bastón (https://www.notion.so/Bast-n-25082858a77580cd916dcf51e28f911f?pvs=21), Lanza (https://www.notion.so/Lanza-25082858a77580ad8032fcd1a205edcb?pvs=21), Tridente (https://www.notion.so/Tridente-25082858a775806ca019d995f54f41fa?pvs=21), Espada Larga (https://www.notion.so/Espada-Larga-25182858a7758075b1e9de54d954100e?pvs=21), Hacha de batalla (https://www.notion.so/Hacha-de-batalla-25182858a775807685e9e5cec8d277ff?pvs=21), Martillo de guerra (https://www.notion.so/Martillo-de-guerra-25182858a7758046ab60f02487923048?pvs=21), Katana (https://www.notion.so/Katana-25182858a77580dab85ad65a1dc6f613?pvs=21), Espada bastarda (https://www.notion.so/Espada-bastarda-25182858a77580e194a1eb5c57194717?pvs=21), Cuchara gigante (https://www.notion.so/Cuchara-gigante-2a982858a775807290fcffbfe484648e?pvs=21)",La escuela de la espada que se adapta: una o dos manos según dicte la situación.
Gran Destructor,"Garrote (https://www.notion.so/Garrote-25182858a775804f92afdf1171d56fdf?pvs=21), Guadaña (https://www.notion.so/Guada-a-25082858a775800288d9e3098f8fb626?pvs=21), Hacha grande (https://www.notion.so/Hacha-grande-25182858a775808ea84cef15d1efd080?pvs=21), Mandoble (https://www.notion.so/Mandoble-25182858a775801fb28fdd0c22f9bf9a?pvs=21), Arco largo (https://www.notion.so/Arco-largo-25182858a7758015a5b5ff7c0f9bdbef?pvs=21), Arco compuesto (https://www.notion.so/Arco-compuesto-25182858a775803c8615e4787a126781?pvs=21), Ballesta de repetición (https://www.notion.so/Ballesta-de-repetici-n-25182858a77580ee8209e139204ab57a?pvs=21), Pica (https://www.notion.so/Pica-25182858a7758013b368e7ed30a8b1c2?pvs=21), Guja (https://www.notion.so/Guja-25182858a775809f9539de9525b4e91c?pvs=21), Alabarda (https://www.notion.so/Alabarda-25182858a77580758e10e88e24d46fcd?pvs=21), Tijeras gigantes (https://www.notion.so/Tijeras-gigantes-2b582858a775805ba612e62a212342bc?pvs=21)","El camino de las armas pesadas a dos manos que aplastan, tajan y barren."
Brazo Largo,"Urumi (https://www.notion.so/Urumi-25182858a7758039918cf6b629175b1a?pvs=21), Yo-Yo (https://www.notion.so/Yo-Yo-25182858a775809abae6e3258e8ee9c9?pvs=21), Mayal (https://www.notion.so/Mayal-25182858a77580aaad18e44780509ee9?pvs=21), Cadena espinada (https://www.notion.so/Cadena-espinada-25182858a77580259756c9f4e409736e?pvs=21), Cadena (https://www.notion.so/Cadena-25182858a77580d885b9e4a589fafe83?pvs=21), Kusari-Gama (https://www.notion.so/Kusari-Gama-25182858a775807b953de3bb6f019729?pvs=21), Martillo meteoro (https://www.notion.so/Martillo-meteoro-25182858a775800d81c7cfdf268fecf7?pvs=21), Guja (https://www.notion.so/Guja-25182858a775809f9539de9525b4e91c?pvs=21)","El dominio del alcance: golpear desde lejos en el cuerpo a cuerpo, controlar el espacio y enredar al enemigo."
Lanzador Certero,"Hacha de mano (https://www.notion.so/Hacha-de-mano-25082858a7758063a164dca2f964ba08?pvs=21), Jabalina (https://www.notion.so/Jabalina-25082858a77580a3ab25eb3b791ddf80?pvs=21), Martillo ligero (https://www.notion.so/Martillo-ligero-25082858a77580cd95acf3ea6e348eef?pvs=21), Lanza (https://www.notion.so/Lanza-25082858a77580ad8032fcd1a205edcb?pvs=21), Tridente (https://www.notion.so/Tridente-25082858a775806ca019d995f54f41fa?pvs=21), Arpón (https://www.notion.so/Arp-n-25082858a775809793e1f87ffba48b31?pvs=21), Dardo (https://www.notion.so/Dardo-25082858a7758001a62de6eb746bd955?pvs=21), Bumerang (https://www.notion.so/Bumerang-25182858a7758042bbbbd18a0c3742c2?pvs=21), Chakram (https://www.notion.so/Chakram-25182858a77580728ca9fe04f292044b?pvs=21), Estrella arrojadiza (https://www.notion.so/Estrella-arrojadiza-25182858a775805e858bd4adda5b9d76?pvs=21), Boleadoras (https://www.notion.so/Boleadoras-25182858a775802db55ac81e5486d8b6?pvs=21)",El arte de las armas arrojadizas: dominar el espacio lanzando tus propias armas y recuperándolas.
Proyectil,"Arco compuesto (https://www.notion.so/Arco-compuesto-25182858a775803c8615e4787a126781?pvs=21), Arco largo (https://www.notion.so/Arco-largo-25182858a7758015a5b5ff7c0f9bdbef?pvs=21), Arco corto (https://www.notion.so/Arco-corto-25082858a775804c8454d1a1b5cacea7?pvs=21), Ballesta de repetición (https://www.notion.so/Ballesta-de-repetici-n-25182858a77580ee8209e139204ab57a?pvs=21), Ballesta pesada (https://www.notion.so/Ballesta-pesada-25182858a77580b585fbd7533456ac38?pvs=21), Ballesta ligera (https://www.notion.so/Ballesta-ligera-25082858a77580f38993dd4bfcc7f988?pvs=21), Honda (https://www.notion.so/Honda-25082858a775802b8ff3d0703e7d66c5?pvs=21), Cerbatana (https://www.notion.so/Cerbatana-25082858a775808bae5dc60ac1d29298?pvs=21)","La disciplina del arquero y el ballestero: precisión a distancia, gestión de munición y cadencia de fuego."
Pólvora,"Pistola (https://www.notion.so/Pistola-25182858a77580838044db6e14645443?pvs=21), Mosquete (https://www.notion.so/Mosquete-25182858a77580568c8cc999475e44da?pvs=21), Trabuco (https://www.notion.so/Trabuco-25182858a775803693f5dd5268847516?pvs=21)","El camino del fuego y el trueno: armas de carga lenta pero devastadoras, que cambian el campo de batalla."
Aplastador,"Garrote (https://www.notion.so/Garrote-25082858a77580959625cb1f8f4ad43d?pvs=21), Maza (https://www.notion.so/Maza-25082858a77580949858cd2b01841175?pvs=21), Lucero del alba (https://www.notion.so/Lucero-del-alba-25182858a7758019bfbdca57b01d168e?pvs=21), Nunchakus (https://www.notion.so/Nunchakus-25182858a77580f9aecce6186cd11144?pvs=21), Porra (https://www.notion.so/Porra-25182858a7758010b13bffc820a26f98?pvs=21), Martillo de guerra (https://www.notion.so/Martillo-de-guerra-25182858a7758046ab60f02487923048?pvs=21), Khopesh (https://www.notion.so/Khopesh-25182858a77580b99e16f8f9ec90dc10?pvs=21), Macuahuitl (https://www.notion.so/Macuahuitl-25182858a775809c9c1bc78123a620d7?pvs=21), Pico de guerra (https://www.notion.so/Pico-de-guerra-25182858a775806fbf9dc017f6c0f03a?pvs=21)","La brutalidad contundente: romper huesos, destrozar escudos y aturdir al enemigo."
Escudo y La Lanza,"Tridente (https://www.notion.so/Tridente-25082858a775806ca019d995f54f41fa?pvs=21), Lanza de caballería (https://www.notion.so/Lanza-de-caballer-a-25182858a77580538fd6fb558c2f9327?pvs=21), Estoque (https://www.notion.so/Estoque-25182858a775807cab5beda6321f92ee?pvs=21), Kpinga (https://www.notion.so/Kpinga-25182858a77580eaadbafd9869704fea?pvs=21), Porra (https://www.notion.so/Porra-25182858a7758010b13bffc820a26f98?pvs=21)","La táctica defensiva: mantener al enemigo a raya, proteger aliados y combatir en formación."
Sombra,"Abanico de batalla (https://www.notion.so/Abanico-de-batalla-25182858a77580f5ad61f312ac9d8b6f?pvs=21), Daga (https://www.notion.so/Daga-25082858a775809f9b29e21ef53a6b0a?pvs=21), Bastón espada (https://www.notion.so/Bast-n-espada-25182858a77580cd9701f37cd644ce1e?pvs=21), Gancho de Agarre (https://www.notion.so/Gancho-de-Agarre-25082858a77580aaa78af989da1b6b3f?pvs=21), Red (https://www.notion.so/Red-25082858a7758067a438fed79dfe6f6c?pvs=21), Cerbatana (https://www.notion.so/Cerbatana-25082858a775808bae5dc60ac1d29298?pvs=21), Garrote (https://www.notion.so/Garrote-25182858a775804f92afdf1171d56fdf?pvs=21), Dardo (https://www.notion.so/Dardo-25082858a7758001a62de6eb746bd955?pvs=21), Estrella arrojadiza (https://www.notion.so/Estrella-arrojadiza-25182858a775805e858bd4adda5b9d76?pvs=21)","El arte del combate oculto: armas que se esconden, sorprenden y se usan con sutileza."
