Nombre,Habilidades,Competencia con habilidades,Dotes,Herramientas
Anticuario,"DES, INT, SAB","Arcana (https://app.notion.com/p/Arcana-14882858a775801e8405d641eaa6a5ce?pvs=21), Finura (https://app.notion.com/p/Finura-14882858a77580a18b73f43a730673f0?pvs=21)",Artesano (https://app.notion.com/p/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),Kit de falsificación (https://app.notion.com/p/Kit-de-falsificaci-n-15682858a775804a863ddc75fedef644?pvs=21)
Apotecario,"CON, INT, SAB","Medicina (https://app.notion.com/p/Medicina-14882858a77580389451fde3f5196b64?pvs=21), Naturaleza (https://app.notion.com/p/Naturaleza-14882858a77580ca837bd949e0d5714e?pvs=21)",Artesano (https://app.notion.com/p/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),Kit de herborista (https://app.notion.com/p/Kit-de-herborista-14e82858a77580eab934c94a0e289ee8?pvs=21)
Artesano,"CON, FUE, INT","Atletismo (https://app.notion.com/p/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Investigar (https://app.notion.com/p/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21)",Artesano (https://app.notion.com/p/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),
Artista,"CAR, DES, SAB","Interpretar (https://app.notion.com/p/Interpretar-14882858a775809eb284c5133cd7bffe?pvs=21), Perspicacia (https://app.notion.com/p/Perspicacia-14882858a775805b9920dfcda074c33f?pvs=21)",Gracia del Auditorio (https://app.notion.com/p/Gracia-del-Auditorio-36082858a775807bbf5ffd8084c28279?pvs=21),Instrumento musical (https://app.notion.com/p/Instrumento-musical-15682858a775803a99d6f4bdcb2392f5?pvs=21)
Carroñero,"CON, DES, INT","Investigar (https://app.notion.com/p/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21), Naturaleza (https://app.notion.com/p/Naturaleza-14882858a77580ca837bd949e0d5714e?pvs=21)",Artesano (https://app.notion.com/p/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),Herramientas de manitas (https://app.notion.com/p/Herramientas-de-manitas-15482858a775807e9df3d98164953aa3?pvs=21)
Cazador de alimañas,"CON, DES, SAB","Sigilo (https://app.notion.com/p/Sigilo-14882858a7758044bb29f9a88bee0bf0?pvs=21), Supervivencia (https://app.notion.com/p/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Resistente (https://app.notion.com/p/Resistente-36182858a775805381d0da73dde6f289?pvs=21),Herramientas de trampero (https://app.notion.com/p/Herramientas-de-trampero-26382858a77580388215ff6fc52351b5?pvs=21)
Cazarrecompensas,"DES, INT, SAB","Perspicacia (https://app.notion.com/p/Perspicacia-14882858a775805b9920dfcda074c33f?pvs=21), Supervivencia (https://app.notion.com/p/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Atacante Técnico (https://app.notion.com/p/Atacante-T-cnico-35f82858a77580dea9cafcac906ce38e?pvs=21),Herramientas de ladrón (https://app.notion.com/p/Herramientas-de-ladr-n-cd27c6e393cc42ecbb4e4693bfb6938d?pvs=21)
Charlatán,"CAR, DES, INT","Engaño (https://app.notion.com/p/Enga-o-14882858a77580a7813bd5d585d2ce7f?pvs=21), Finura (https://app.notion.com/p/Finura-14882858a77580a18b73f43a730673f0?pvs=21)",Actor (https://app.notion.com/p/Actor-36382858a77580469186d57a2a0725c0?pvs=21),Kit de falsificación (https://app.notion.com/p/Kit-de-falsificaci-n-15682858a775804a863ddc75fedef644?pvs=21)
Chef,"CAR, CON, SAB","Supervivencia (https://app.notion.com/p/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21), Resistencia (https://app.notion.com/p/Resistencia-14882858a775804dacebe7c832ce77e6?pvs=21)",Gourmet (https://app.notion.com/p/Gourmet-36082858a77580a3bb67d603be9ab93a?pvs=21),Utensilios de cocina (https://app.notion.com/p/Utensilios-de-cocina-15582858a775809aa6c9fe26b481f7f7?pvs=21)
Contrabandista,"CAR, DES, FUE","Atletismo (https://app.notion.com/p/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Sigilo (https://app.notion.com/p/Sigilo-14882858a7758044bb29f9a88bee0bf0?pvs=21)",Superviviente (https://app.notion.com/p/Superviviente-36282858a77580918bdeebd70cd48ca7?pvs=21),Kit de disfraz (https://app.notion.com/p/Kit-de-disfraz-15682858a77580d89c38dfd90c9e4fbe?pvs=21)
Corsario,"CAR, CON, DES","Acrobacias (https://app.notion.com/p/Acrobacias-14882858a77580bf8f11ee2deceaef34?pvs=21), Intimidar (https://app.notion.com/p/Intimidar-14882858a77580f4a40dcd9281240c93?pvs=21)",Atacante Técnico (https://app.notion.com/p/Atacante-T-cnico-35f82858a77580dea9cafcac906ce38e?pvs=21),Herramientas de navegante (https://app.notion.com/p/Herramientas-de-navegante-15482858a77580249991e3f1de31e5c4?pvs=21)
Cortesano,"CAR, DES, INT","Diplomacia (https://app.notion.com/p/Diplomacia-14882858a77580e79626eeba3637187d?pvs=21), Interpretar (https://app.notion.com/p/Interpretar-14882858a775809eb284c5133cd7bffe?pvs=21)",Gracia del Auditorio (https://app.notion.com/p/Gracia-del-Auditorio-36082858a775807bbf5ffd8084c28279?pvs=21),Instrumento musical (https://app.notion.com/p/Instrumento-musical-15682858a775803a99d6f4bdcb2392f5?pvs=21)
Ermitaño,"CON, INT, SAB","Medicina (https://app.notion.com/p/Medicina-14882858a77580389451fde3f5196b64?pvs=21), Religión (https://app.notion.com/p/Religi-n-14882858a77580eab34ee76d890f406c?pvs=21)",Sanador (https://app.notion.com/p/Sanador-36282858a7758002a7f1c28c9e48ece1?pvs=21),Kit de herborista (https://app.notion.com/p/Kit-de-herborista-14e82858a77580eab934c94a0e289ee8?pvs=21)
Escriba,"DES, INT, SAB","Investigar (https://app.notion.com/p/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21), Percepción (https://app.notion.com/p/Percepci-n-14882858a77580dfa2f3f3109c37ce89?pvs=21)",Hábil (https://app.notion.com/p/H-bil-36182858a77580edaf2bda94378de440?pvs=21),Suministros de calígrafo (https://app.notion.com/p/Suministros-de-cal-grafo-15582858a775808e8e2ec5f281c2c7c7?pvs=21)
"Espía ","CAR, DES, INT","Sigilo (https://app.notion.com/p/Sigilo-14882858a7758044bb29f9a88bee0bf0?pvs=21), Engaño (https://app.notion.com/p/Enga-o-14882858a77580a7813bd5d585d2ce7f?pvs=21)",Actor (https://app.notion.com/p/Actor-36382858a77580469186d57a2a0725c0?pvs=21),Kit de disfraz (https://app.notion.com/p/Kit-de-disfraz-15682858a77580d89c38dfd90c9e4fbe?pvs=21)
Estibador,"CON, FUE, INT","Atletismo (https://app.notion.com/p/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Investigar (https://app.notion.com/p/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21)",Artesano (https://app.notion.com/p/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),Herramientas de carpintero (https://app.notion.com/p/Herramientas-de-carpintero-15582858a77580ff94fbed3aba9f5017?pvs=21)
Granjero,"CON, FUE, SAB","Domesticar (https://app.notion.com/p/Domesticar-14882858a77580f4b92ef9c92a64afcc?pvs=21), Atletismo (https://app.notion.com/p/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21)",Duro (https://app.notion.com/p/Duro-36382858a77580e78a0bc611ca259a15?pvs=21),Utensilios de cocina (https://app.notion.com/p/Utensilios-de-cocina-15582858a775809aa6c9fe26b481f7f7?pvs=21)
Guardia,"CON, FUE, SAB","Percepción (https://app.notion.com/p/Percepci-n-14882858a77580dfa2f3f3109c37ce89?pvs=21), Atletismo (https://app.notion.com/p/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21)",Alerta (https://app.notion.com/p/Alerta-36082858a77580d28f6eec3acbc7ad64?pvs=21),Equipo de juego (https://app.notion.com/p/Equipo-de-juego-15682858a77580ea8c91e280c4f174aa?pvs=21)
Guía,"DES, INT, SAB","Naturaleza (https://app.notion.com/p/Naturaleza-14882858a77580ca837bd949e0d5714e?pvs=21), Percepción (https://app.notion.com/p/Percepci-n-14882858a77580dfa2f3f3109c37ce89?pvs=21)",Aullido Telúrico (https://app.notion.com/p/Aullido-Tel-rico-36282858a7758013a51bcd8f3a616a32?pvs=21),Herramientas de cartógrafo (https://app.notion.com/p/Herramientas-de-cart-grafo-26282858a7758010b9cfc36b5f792946?pvs=21)
Marinero,"DES, FUE, SAB","Acrobacias (https://app.notion.com/p/Acrobacias-14882858a77580bf8f11ee2deceaef34?pvs=21), Percepción (https://app.notion.com/p/Percepci-n-14882858a77580dfa2f3f3109c37ce89?pvs=21)",Peleador de Taberna (https://app.notion.com/p/Peleador-de-Taberna-35f82858a77580659b0bfc9aca740dc3?pvs=21),Herramientas de navegante (https://app.notion.com/p/Herramientas-de-navegante-15482858a77580249991e3f1de31e5c4?pvs=21)
Mecenas,"CAR, CON, INT","Diplomacia (https://app.notion.com/p/Diplomacia-14882858a77580e79626eeba3637187d?pvs=21), Investigar (https://app.notion.com/p/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21)",Hábil (https://app.notion.com/p/H-bil-36182858a77580edaf2bda94378de440?pvs=21),Suministros de joyero (https://app.notion.com/p/Suministros-de-joyero-15582858a7758098857ec164b0b372cd?pvs=21)
Médico,"CON, INT, SAB","Investigar (https://app.notion.com/p/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21), Medicina (https://app.notion.com/p/Medicina-14882858a77580389451fde3f5196b64?pvs=21)",Sanador (https://app.notion.com/p/Sanador-36282858a7758002a7f1c28c9e48ece1?pvs=21),Kit de sanador (https://app.notion.com/p/Kit-de-sanador-15d5b42f7e3a4e4c9b7b5b6dbe7a5d64?pvs=21)
Mendigo,"CAR, DES, SAB","Engaño (https://app.notion.com/p/Enga-o-14882858a77580a7813bd5d585d2ce7f?pvs=21), Perspicacia (https://app.notion.com/p/Perspicacia-14882858a775805b9920dfcda074c33f?pvs=21)",Suertudo (https://app.notion.com/p/Suertudo-36082858a77580c2827fc8f31047c89f?pvs=21),Kit de disfraz (https://app.notion.com/p/Kit-de-disfraz-15682858a77580d89c38dfd90c9e4fbe?pvs=21)
Mercader,"CAR, INT, SAB","Perspicacia (https://app.notion.com/p/Perspicacia-14882858a775805b9920dfcda074c33f?pvs=21), Sociedad (https://app.notion.com/p/Sociedad-14882858a775809bb3bff3d796fdbbd0?pvs=21)",Suertudo (https://app.notion.com/p/Suertudo-36082858a77580c2827fc8f31047c89f?pvs=21),Herramientas de cartógrafo (https://app.notion.com/p/Herramientas-de-cart-grafo-26282858a7758010b9cfc36b5f792946?pvs=21)
Mercenario,"CON, FUE, INT","Atletismo (https://app.notion.com/p/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Resistencia (https://app.notion.com/p/Resistencia-14882858a775804dacebe7c832ce77e6?pvs=21)",Peleador de Taberna (https://app.notion.com/p/Peleador-de-Taberna-35f82858a77580659b0bfc9aca740dc3?pvs=21),Equipo de juego (https://app.notion.com/p/Equipo-de-juego-15682858a77580ea8c91e280c4f174aa?pvs=21)
Minero,"CON, FUE, SAB","Atletismo (https://app.notion.com/p/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Naturaleza (https://app.notion.com/p/Naturaleza-14882858a77580ca837bd949e0d5714e?pvs=21)",Atacante Salvaje (https://app.notion.com/p/Atacante-Salvaje-36382858a77580f69713dce4992cb568?pvs=21),Herramientas de cantero (https://app.notion.com/p/Herramientas-de-cantero-15682858a77580168bc4e842ba02e974?pvs=21)
Noble,"CAR, FUE, INT","Sociedad (https://app.notion.com/p/Sociedad-14882858a775809bb3bff3d796fdbbd0?pvs=21), Diplomacia (https://app.notion.com/p/Diplomacia-14882858a77580e79626eeba3637187d?pvs=21)",Hábil (https://app.notion.com/p/H-bil-36182858a77580edaf2bda94378de440?pvs=21),Equipo de juego (https://app.notion.com/p/Equipo-de-juego-15682858a77580ea8c91e280c4f174aa?pvs=21)
