Nombre,Competencia con habilidades,Dotes,Habilidades,Herramientas
Mercenario,"Intimidar (https://www.notion.so/Intimidar-14882858a77580f4a40dcd9281240c93?pvs=21), Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21)",Peleador de Taberna (https://www.notion.so/Peleador-de-Taberna-35f82858a77580659b0bfc9aca740dc3?pvs=21),"CAR, CON, FUE",Equipo de juego (https://www.notion.so/Equipo-de-juego-15682858a77580ea8c91e280c4f174aa?pvs=21)
Cazarrecompensas,"Perspicacia (https://www.notion.so/Perspicacia-14882858a775805b9920dfcda074c33f?pvs=21), Supervivencia (https://www.notion.so/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Atacante Técnico (https://www.notion.so/Atacante-T-cnico-35f82858a77580dea9cafcac906ce38e?pvs=21),"DES, INT, SAB",Herramientas de ladrón (https://www.notion.so/Herramientas-de-ladr-n-cd27c6e393cc42ecbb4e4693bfb6938d?pvs=21)
Guardia,"Percepción (https://www.notion.so/Percepci-n-14882858a77580dfa2f3f3109c37ce89?pvs=21), Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21)",Alerta (https://www.notion.so/Alerta-36082858a77580d28f6eec3acbc7ad64?pvs=21),"CON, FUE, SAB",Equipo de juego (https://www.notion.so/Equipo-de-juego-15682858a77580ea8c91e280c4f174aa?pvs=21)
Soldado,"Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Intimidar (https://www.notion.so/Intimidar-14882858a77580f4a40dcd9281240c93?pvs=21)",Atacante Técnico (https://www.notion.so/Atacante-T-cnico-35f82858a77580dea9cafcac906ce38e?pvs=21),"CON, DES, FUE",Herramientas de herrero (https://www.notion.so/Herramientas-de-herrero-15482858a7758098b418e1e390481066?pvs=21)
Artista,"Interpretar (https://www.notion.so/Interpretar-14882858a775809eb284c5133cd7bffe?pvs=21), Perspicacia (https://www.notion.so/Perspicacia-14882858a775805b9920dfcda074c33f?pvs=21)",Gracia del Auditorio (https://www.notion.so/Gracia-del-Auditorio-36082858a775807bbf5ffd8084c28279?pvs=21),"CAR, DES, SAB",Instrumento musical (https://www.notion.so/Instrumento-musical-15682858a775803a99d6f4bdcb2392f5?pvs=21)
Mercader,"Perspicacia (https://www.notion.so/Perspicacia-14882858a775805b9920dfcda074c33f?pvs=21), Sociedad (https://www.notion.so/Sociedad-14882858a775809bb3bff3d796fdbbd0?pvs=21)",Suertudo (https://www.notion.so/Suertudo-36082858a77580c2827fc8f31047c89f?pvs=21),"CAR, INT, SAB",Herramientas de cartógrafo (https://www.notion.so/Herramientas-de-cart-grafo-26282858a7758010b9cfc36b5f792946?pvs=21)
Artesano,"Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Investigar (https://www.notion.so/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21)",Artesano (https://www.notion.so/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),"CON, FUE, INT",
Chef,"Supervivencia (https://www.notion.so/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21), Resistencia (https://www.notion.so/Resistencia-14882858a775804dacebe7c832ce77e6?pvs=21)",Gourmet (https://www.notion.so/Gourmet-36082858a77580a3bb67d603be9ab93a?pvs=21),"CAR, CON, SAB",Utensilios de cocina (https://www.notion.so/Utensilios-de-cocina-15582858a775809aa6c9fe26b481f7f7?pvs=21)
Sacerdote,"Medicina (https://www.notion.so/Medicina-14882858a77580389451fde3f5196b64?pvs=21), Religión (https://www.notion.so/Religi-n-14882858a77580eab34ee76d890f406c?pvs=21)",Fortuna Purificante (https://www.notion.so/Fortuna-Purificante-36182858a77580dea24ac42e0ac603ee?pvs=21),"CAR, INT, SAB",Kit de sanador (https://www.notion.so/Kit-de-sanador-15d5b42f7e3a4e4c9b7b5b6dbe7a5d64?pvs=21)
Sepulturero,"Religión (https://www.notion.so/Religi-n-14882858a77580eab34ee76d890f406c?pvs=21), Medicina (https://www.notion.so/Medicina-14882858a77580389451fde3f5196b64?pvs=21)",Resistente (https://www.notion.so/Resistente-36182858a775805381d0da73dde6f289?pvs=21),"CON, FUE, SAB",
Sectario,"Arcana (https://www.notion.so/Arcana-14882858a775801e8405d641eaa6a5ce?pvs=21), Naturaleza (https://www.notion.so/Naturaleza-14882858a77580ca837bd949e0d5714e?pvs=21)",Fermentación Necrótica (https://www.notion.so/Fermentaci-n-Necr-tica-36182858a77580a6b918e1703a847e18?pvs=21),"CAR, CON, INT",Suministros de envenenador (https://www.notion.so/Suministros-de-envenenador-15382858a77580eb9ae6cc56f2e2f34c?pvs=21)
Predicador,"Diplomacia (https://www.notion.so/Diplomacia-14882858a77580e79626eeba3637187d?pvs=21), Interpretar (https://www.notion.so/Interpretar-14882858a775809eb284c5133cd7bffe?pvs=21)",Hábil (https://www.notion.so/H-bil-36182858a77580edaf2bda94378de440?pvs=21),"CAR, INT, SAB",Instrumento musical (https://www.notion.so/Instrumento-musical-15682858a775803a99d6f4bdcb2392f5?pvs=21)
Mendigo,"Engaño (https://www.notion.so/Enga-o-14882858a77580a7813bd5d585d2ce7f?pvs=21), Perspicacia (https://www.notion.so/Perspicacia-14882858a775805b9920dfcda074c33f?pvs=21)",Suertudo (https://www.notion.so/Suertudo-36082858a77580c2827fc8f31047c89f?pvs=21),"CAR, DES, SAB",Kit de disfraz (https://www.notion.so/Kit-de-disfraz-15682858a77580d89c38dfd90c9e4fbe?pvs=21)
Rufián,"Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Intimidar (https://www.notion.so/Intimidar-14882858a77580f4a40dcd9281240c93?pvs=21)",Peleador de Taberna (https://www.notion.so/Peleador-de-Taberna-35f82858a77580659b0bfc9aca740dc3?pvs=21),"CAR, CON, FUE",Equipo de juego (https://www.notion.so/Equipo-de-juego-15682858a77580ea8c91e280c4f174aa?pvs=21)
Carroñero,"Investigar (https://www.notion.so/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21), Naturaleza (https://www.notion.so/Naturaleza-14882858a77580ca837bd949e0d5714e?pvs=21)",Artesano (https://www.notion.so/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),"CON, DES, INT",Herramientas de manitas (https://www.notion.so/Herramientas-de-manitas-15482858a775807e9df3d98164953aa3?pvs=21)
Cazador de alimañas,"Sigilo (https://www.notion.so/Sigilo-14882858a7758044bb29f9a88bee0bf0?pvs=21), Supervivencia (https://www.notion.so/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Resistente (https://www.notion.so/Resistente-36182858a775805381d0da73dde6f289?pvs=21),"CON, DES, SAB",Herramientas de trampero (https://www.notion.so/Herramientas-de-trampero-26382858a77580388215ff6fc52351b5?pvs=21)
Pionero,"Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Supervivencia (https://www.notion.so/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Superviviente (https://www.notion.so/Superviviente-36282858a77580918bdeebd70cd48ca7?pvs=21),"CON, FUE, SAB",Herramientas de carpintero (https://www.notion.so/Herramientas-de-carpintero-15582858a77580ff94fbed3aba9f5017?pvs=21)
Guía,"Naturaleza (https://www.notion.so/Naturaleza-14882858a77580ca837bd949e0d5714e?pvs=21), Percepción (https://www.notion.so/Percepci-n-14882858a77580dfa2f3f3109c37ce89?pvs=21)",Aullido Telúrico (https://www.notion.so/Aullido-Tel-rico-36282858a7758013a51bcd8f3a616a32?pvs=21),"DES, INT, SAB",Herramientas de cartógrafo (https://www.notion.so/Herramientas-de-cart-grafo-26282858a7758010b9cfc36b5f792946?pvs=21)
Ermitaño,"Medicina (https://www.notion.so/Medicina-14882858a77580389451fde3f5196b64?pvs=21), Religión (https://www.notion.so/Religi-n-14882858a77580eab34ee76d890f406c?pvs=21)",Sanador (https://www.notion.so/Sanador-36282858a7758002a7f1c28c9e48ece1?pvs=21),"CON, INT, SAB",Kit de herborista (https://www.notion.so/Kit-de-herborista-14e82858a77580eab934c94a0e289ee8?pvs=21)
Pastor,"Domesticar (https://www.notion.so/Domesticar-14882858a77580f4b92ef9c92a64afcc?pvs=21), Supervivencia (https://www.notion.so/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Frugal (https://www.notion.so/Frugal-36282858a7758010a83dfdaf13f667e5?pvs=21),"CON, FUE, SAB",Utensilios de cocina (https://www.notion.so/Utensilios-de-cocina-15582858a775809aa6c9fe26b481f7f7?pvs=21)
