Nombre,Dificultad,Disponibilidad,Familia,Nombre alfabeto,Rama
Escritura Rota,85,12,Lengua Hendida,Glifos Rotos,
Ruinés,70,20,Lengua Hendida,Glifos Rotos,
Tapízico,95,5,Lengua Hendida,Escritura del Hilo,
Primordial,98,3,Lengua Primordial,Escritura Elemental,
Ignano,65,18,Lengua Primordial,Escritura de Brasa,
Krómico,55,30,Lengua Primordial,Escritura de Brasa,Rama Dracónica
"Aurínico ",68,15,Lengua Primordial,Escritura de Brasa (grabado en metal),Rama Dracónica
"Gemálico ",82,6,Lengua Primordial,Escritura de Brasa (tallado en cristal),Rama Dracónica
Acuano,50,32,Lengua Primordial,Corrientes,
Aurano,58,14,Lengua Primordial,Rafas,
"Terrano ",60,30,Lengua Primordial,Piedra Tallada,
"Dúrmico ",52,25,Lengua Primordial,Rúnica de Veta,Rama Enana
"Ménico ",35,40,Lengua Primordial,Rúnica de Veta (simplificada),Rama Enana
Pétrico,78,10,Lengua Primordial,Rúnica de Veta (arcaica),Rama Enana
"Aldúrico ",75,8,Lengua Primordial,Marcas de Coloso,Rama Gigante
Crútico,62,12,Lengua Primordial,Marcas de Coloso,Rama Gigante
Valmiro,88,4,Lengua Primordial,Marcas de Coloso (primordial),Rama Gigante
Gorrak,40,35,Lengua Primordial,Marcas de Guerra,Rama Orca
"Kruplik ",30,50,Lengua Primordial,Marcas de Guerra (simplificadas),Rama Orca
"Sombrak ",55,18,Lengua Primordial,Marcas de Guerra (adaptado),Rama Orca
Silvano,72,10,Lengua Silvana,Escritura Florada,
"Mícel ",65,22,Lengua Silvana,Esporas,
"Altharion ",48,28,Lengua Silvana,Élfico de Hilo Fino,Rama Élfica
"Sylvaran ",38,32,Lengua Silvana,Élfico de Hilo Fino (grabado en corteza),Rama Élfica
"Umbrethi ",58,20,Lengua Silvana,Élfico de Hilo Fino (invertido),Rama Élfica
"Ternavar ",55,27,Lengua Silvana,Marcas Feral,
"Vhaldrés ",18,80,Lengua Silvana,Escritura Común,Rama Humana
"Ilyrano ",30,45,Lengua Silvana,Escritura Común (cursiva salvaje),Rama Humana
"Nakarín ",35,38,Lengua Silvana,Escritura Común (con símbolos naúticos propios),Rama Humana
"Hondral ",50,15,Lengua Silvana,Escritura Común (adaptada para oscuridad),Rama Humana
"Lapiro ",22,60,Lengua Silvana,Escritura Común (mezclada),Rama Humana
